"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites"
178,"Mcdonell","","","","","SEL-20-08","Sockeye-Lake",5,"",2,5,4,5,16,"None",1
179,"Atna","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
180,"Babine","","","","","SEL-21-02-EW","Sockeye-Lake",5,"",2,5,5,5,17,"None",NA
181,"Bulkley","","","","","SEL-21-03","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
182,"Club Lake","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
183,"Gitanyow","","","","","SEL-21-05","Sockeye-Lake",5,"",3,5,5,5,18,"None",2
184,"Maxan","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
185,"Morice","","","","","SEL-21-07","Sockeye-Lake",6,"",3,4,5,5,17,"None",4
186,"Nilkitkwa","","","","","SEL-21-02-LW","Sockeye-Lake",5,"",3,5,5,5,18,"None",NA
187,"Stephens","","","","","SEL-21-09","Sockeye-Lake",5,"",2,4,5,5,16,"None",9
188,"Swan","","","","","SEL-21-10","Sockeye-Lake",5,"",0,2,3,5,10,"None",NA
189,"Tahlo/Morrison","","","","","SEL-21-02-MW","Sockeye-Lake",5,"",0,4,5,5,14,"None",NA
190,"Asitika","","","","","SEL-22-01","Sockeye-Lake",5,"",0,5,4,5,14,"None",1
191,"Azuklotz","","","","","SEL-22-02","Sockeye-Lake",5,"",2,5,2,5,14,"None",1
192,"Bear","","","","","SEL-22-03","Sockeye-Lake",5,"",1,4,1,5,11,"None",3
193,"Damshilgwit","","","","","SEL-22-04","Sockeye-Lake",5,"",5,5,5,5,20,"None",1
194,"Johanson","","","","","SEL-22-05","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
195,"Kluatantan","","","","","SEL-22-06","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
196,"Kluayaz","","","","","SEL-22-07","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
197,"Motase","","","","","SEL-22-08","Sockeye-Lake",5,"",2,5,1,5,13,"None",1
198,"Sicintine","","","","","SEL-22-09","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
199,"Slamgeesh","","","","","SEL-22-10","Sockeye-Lake",5,"",0,0,0,0,0,"None",2
200,"Spawning","","","","","SEL-22-11","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
201,"Sustut","","","","","SEL-22-12","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
203,"Babine (enhanced)","","","","","SEL-21-02-F","Sockeye-Lake",5,"",5,5,5,5,20,"High",NA
204,"Babine-Pinkut","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
230,"Footsore/Hodder","","","","","SEL-21-12","Sockeye-Lake",5,"",0,0,0,0,0,"None",3
243,"Onerka","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
416,"Prudhomme","","","","","SEL-19-49","Sockeye-Lake",5,"",0,0,0,0,0,NA,3
417,"Shawatlan","","","","","SEL-19-54","Sockeye-Lake",5,"",0,0,0,0,0,NA,1
418,"Clements","","","","",NA,"Sockeye-Lake",NA,"",0,0,0,0,0,"None",NA
419,"Leverson","","","","",NA,"Sockeye-Lake",NA,"",0,0,0,0,0,"None",NA
420,"Bowser","","","","",NA,"Sockeye-Lake",NA,"",0,0,0,0,0,"None",NA
421,"Damdochax","","","","","SEL-24-02","Sockeye-Lake",5,"",4,5,4,5,18,"None",1
422,"Fred Wright","","","","","SEL-24-03","Sockeye-Lake",5,"",3,5,5,5,18,"None",1
423,"Kwinageese","","","","",NA,"Sockeye-Lake",NA,"",0,0,0,0,0,"None",NA
424,"Meziadin","","","","","SEL-24-05","Sockeye-Lake",5,"",3,5,5,5,18,"None",1
425,"Oweegee","","","","",NA,"Sockeye-Lake",NA,"",0,0,0,0,0,"None",NA
524,"Long","","","","","SEL-15-01","Sockeye-Lake",5,"",1,5,2,2,10,"Low",3
525,"Owikeno","","","","","SEL-15-02","Sockeye-Lake",5,"",1,3,4,2,10,"Low",9
526,"Owikeno-Late","","","","","SEL-15-03","Sockeye-Lake",5,"",0,0,0,0,0,NA,2
527,"Wannock[Owikeno]","","","","","SEL-15-04","Sockeye-Lake",5,"",0,0,0,0,0,"Low",1
528,"South Atnarko Lakes","","","","","SX_528","Sockeye-Lake",5,"",1,5,5,2,13,"High",NA
529,"Backland","","","","","SEL-18-01","Sockeye-Lake",5,"",0,5,4,2,11,"None",1
530,"Soda Creek","","","","","SEL-18-10","Sockeye-Lake",5,"",0,0,0,0,0,"None",NA
531,"Whalen","","","","","SEL-18-11","Sockeye-Lake",5,"",0,0,0,0,0,NA,1
532,"Canoona","","","","","SEL-18-02","Sockeye-Lake",5,"",1,5,3,2,11,"None",1
533,"Dome ","","","","","SEL-18-03","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
534,"Evelyn","","","","","SEL-18-04","Sockeye-Lake",5,"",3,5,5,2,15,"None",1
535,"Kainet Creek","","","","","SEL-18-05","Sockeye-Lake",5,"",1,5,5,2,13,"None",1
536,"Kimsquit","","","","","SEL-18-06","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
537,"Kitkiata","","","","","SEL-18-07","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
538,"Kitlope","","","","","SEL-18-08","Sockeye-Lake",5,"",0,5,5,2,12,"None",1
539,"Pine River","","","","","SEL-18-09","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
540,"Banks","","","","","SEL-19-01","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
541,"Bloomfield","","","","","SEL-19-02","Sockeye-Lake",5,"",0,5,2,2,9,"None",1
542,"Bolton Creek","","","","","SEL-19-03","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
543,"Bonilla","","","","","SEL-19-04","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
544,"Borrowman Creek","","","","","SEL-19-05","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
545,"Busey Creek","","","","","SEL-19-06","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
546,"Cartwright Creek","","","","","SEL-19-07","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
547,"Chic Chic ","","","","","SEL-19-08","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
548,"Citeyats","","","","","SEL-19-09","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
549,"Fannie Cove","","","","","SEL-19-10","Sockeye-Lake",5,"",0,0,0,0,0,"None",2
550,"Curtis Inlet","","","","","SEL-19-11","Sockeye-Lake",5,"",1,5,3,2,11,"Moderate",1
551,"Dallain Creek","","","","","SEL-19-12","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
552,"Deer","","","","","SEL-19-13","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
553,"Devon","","","","","SEL-19-14","Sockeye-Lake",5,"",1,5,5,2,13,"None",1
554,"Douglas Creek","","","","","SEL-19-15","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
555,"Elizabeth","","","","","SEL-19-16","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
556,"Elsie/Hoy","","","","","SEL-19-17","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
557,"End Hill Creek","","","","","SEL-19-18","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
558,"Evinrude Inlet","","","","","SEL-19-19","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
559,"Freeda","","","","","SEL-19-20","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
560,"Hartley Bay","","","","","SEL-19-21","Sockeye-Lake",5,"",3,5,5,2,15,"None",1
561,"Hevenor Inlet","","","","","SEL-19-22","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
562,"Higgins Lagoon","","","","","SEL-19-23","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
563,"Kadjusdis River","","","","","SEL-19-24","Sockeye-Lake",5,"",0,5,2,2,9,"Low",1
564,"Kdelmashan Creek","","","","","SEL-19-25","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
565,"Keecha","","","","","SEL-19-26","Sockeye-Lake",5,"",1,5,3,2,11,"None",1
566,"Kent Inlet Lagoon Creek","","","","","SEL-19-27","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
567,"Kenzuwash Creeks","","","","","SEL-19-28","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
568,"Keswar Creek","","","","","SEL-19-29","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
569,"Kildidt Creek","","","","","SEL-19-30","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
570,"Kildidt Lagoon Creek","","","","","SEL-19-31","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
571,"Kisameet","","","","","SEL-19-32","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
572,"Koeye","","","","","SEL-19-33","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
573,"Kooryet","","","","","SEL-19-34","Sockeye-Lake",5,"",0,5,4,2,11,"None",1
574,"Kunsoot River","","","","","SEL-19-35","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
575,"Kwakwa Creek","","","","","SEL-19-36","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
576,"Lewis Creek","","","","","SEL-19-37","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
577,"Limestone Creek","","","","","SEL-19-38","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
578,"Lowe/Simpson/Weir","","","","","SEL-19-39","Sockeye-Lake",5,"",0,5,4,2,11,"None",1
579,"Mary Cove Creek","","","","","SEL-19-40","Sockeye-Lake",5,"",0,5,1,2,8,"Moderate",1
580,"Mcdonald Creek","","","","","SEL-19-41","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
581,"Mcloughlin","","","","","SEL-19-42","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
582,"Mikado","","","","","SEL-19-43","Sockeye-Lake",5,"",0,5,3,2,10,"None",1
583,"Monckton Inlet Creek","","","","","SEL-19-44","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
584,"Namu","","","","","SEL-19-45","Sockeye-Lake",5,"",2,5,3,2,12,"None",1
585,"Port John","","","","","SEL-19-46","Sockeye-Lake",5,"",2,5,5,2,14,"None",1
586,"Powles Creek","","","","","SEL-19-47","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
587,"Price Creek","","","","","SEL-19-48","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
588,"Roderick","","","","","SEL-19-50","Sockeye-Lake",5,"",1,5,4,2,12,"High",1
589,"Ryan Creek","","","","","SEL-19-51","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
590,"Salter","","","","","SEL-19-52","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
591,"Scoular/Kilpatrick","","","","","SEL-19-53","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
592,"Sheneeza Inlet","","","","","SEL-19-55","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
593,"Ship Point Creek","","","","","SEL-19-56","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
594,"Spencer Creek","","","","","SEL-19-57","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
595,"Stannard Creek","","","","","SEL-19-58","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
596,"Talamoosa Creek","","","","","SEL-19-59","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
597,"Tankeeah River","","","","","SEL-19-60","Sockeye-Lake",5,"",1,5,2,2,10,"High",1
598,"Treneman Creek","","","","","SEL-19-61","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
599,"Tsimtack/Moore/Roger","","","","","SEL-19-62","Sockeye-Lake",5,"",2,5,5,2,14,"None",1
600,"Tuno Creek East","","","","","SEL-19-63","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
601,"Tuno Creek West","","","","","SEL-19-64","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
602,"Tyler Creek","","","","","SEL-19-65","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
603,"Wale Creek","","","","","SEL-19-66","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
604,"Watt Bay","","","","","SEL-19-67","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
605,"West Creek","","","","","SEL-19-68","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
606,"Yaaklele Lagoon","","","","","SEL-19-69","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
607,"Yeo","","","","","SEL-19-70","Sockeye-Lake",5,"",0,5,3,2,10,"None",1
614,"Northern Coastal Fjords","","","","","SER-16","Sockeye-Lake",4,"",0,0,0,0,0,"None",94
711,"Chilliwack_Early Summer","","SE5","","Chilliwack-ES population","SEL-03-01","Sockeye-Lake",4,"Not at risk",3,5,5,0,13,"None",3
712,"Cultus_Late","","SE6","","Cultus-L population","SEL-03-02","Sockeye-Lake",4,"Endangered",5,5,5,5,20,"High",1
713,"Harrison-downstream migrating_Late","","SE9","","Harrison (D/S)-L population","SEL-03-03","Sockeye-Lake",4,"Special Concern",3,5,5,0,13,"None",11
714,"Harrison-upstream migrating_Late","","SE10","","Harrison (U/S)-L population","SEL-03-04","Sockeye-Lake",4,"Endangered",3,5,5,5,18,"None",4
715,"Pitt_Early Summer","","SE15","","Pitt-ES population","SEL-03-05","Sockeye-Lake",4,"Not at risk",3,5,5,5,18,"High",8
716,"Lillooet/Harrison_Late","","SE12","","Lillooet-Harrison-L population","SEL-04-01","Sockeye-Lake",4,"Special Concern",4,5,5,5,19,"None",12
718,"Nahatlatch_Early Summer","","SE13","","Nahatlatch-ES population","SEL-05-02","Sockeye-Lake",4,"Special Concern",2,5,5,0,12,"None",2
719,"Anderson/Seton_Early Summer","","SE1","","Anderson-Seton-ES population","SEL-06-01","Sockeye-Lake",4,"Not at risk",4,5,5,5,19,"High",6
720,"Chilko_Early Summer","","","","Chilko-ES population / Chilko-S population","SEL-06-02","Sockeye-Lake",4,"Not at risk",0,0,0,0,0,"None",1
721,"Chilko_Summer","","","","Chilko-ES population / Chilko-S population","SEL-06-03","Sockeye-Lake",4,"Not at risk",4,5,5,5,19,"None",3
725,"Francois/Fraser_Summer","","SE7","","Francois-Fraser-S population","SEL-06-07","Sockeye-Lake",4,"Special Concern",4,5,5,5,19,"Low",5
727,"Nadina/Francois_Early Summer","","SE8","","Nadina-Francois-ES population","SEL-06-20","Sockeye-Lake",4,"Not at risk",4,5,5,5,19,"None",2
728,"Quesnel_Summer","","SE16","","Quesnel-S population","SEL-06-10","Sockeye-Lake",4,"Endangered",3,5,5,5,18,"Moderate",94
729,"Seton_Late","","SE17","","Seton-L population","SEL-06-11","Sockeye-Lake",4,"Endangered",0,0,0,5,5,"None",1
731,"Takla/Trembleur/Stuart_Summer","","SE21","","Takla-Trembleur-Stuart-S population","SEL-06-13","Sockeye-Lake",4,"Endangered",3,5,4,5,17,"None",11
732,"Takla/Trembleur_Early Stuart","","SE20","","Takla-Trembleur-EStu population","SEL-06-14","Sockeye-Lake",4,"Endangered",3,5,5,5,18,"None",44
734,"Taseko_Early Summer","","SE22","","Taseko-ES population","SEL-06-16","Sockeye-Lake",4,"Endangered",2,5,5,0,12,"None",6
735,"Bowron_Early Summer","","SE2","","Bowron-ES population","SEL-07-01","Sockeye-Lake",4,"Endangered",2,5,5,5,17,"None",4
738,"Shuswap_Early Summer","","SE19","","Shuswap-ES population","SEL-09-02","Sockeye-Lake",4,"Not at risk",0,0,0,5,5,"Low",24
739,"Shuswap_Late","","SE18","","Shuswap Complex-L population","SEL-09-03","Sockeye-Lake",4,"Not at risk",2,5,5,5,17,"None",71
740,"Kamloops_Early Summer","","SE11","","Kamloops-ES population","SEL-10-01","Sockeye-Lake",4,"Special Concern",2,5,5,5,17,"None",10
751,"Adams and Momich Lakes_Early Summer","","","","Adams ES","SEL-09-xx","Sockeye-Lake",4,"Threatened",0,0,0,0,0,"None",5
751,"Adams and Momich Lakes_Early Summer","","","","Momich-ES","SEL-09-xx","Sockeye-Lake",4,"Threatened",0,0,0,0,0,"None",5
752,"North Barriere_Early Summer","","SE14","","North Barriere-ES population","SEL-10-03","Sockeye-Lake",4,"Threatened",3,5,5,5,18,"None",2
819,"Ain/Skundale/Ian","","","","","SEL-17-01","Sockeye-Lake",NA,"",0,0,0,0,0,"None",1
820,"Awun","","","","","SEL-17-02","Sockeye-Lake",5,"",2,5,5,2,14,"None",1
821,"Fairfax","","","","","SEL-17-03","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
822,"Jalun","","","","","SEL-17-04","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
823,"MARIAN","","","","","SEL-17-05","Sockeye-Lake",5,"",2,5,5,2,14,"None",1
824,"Mathers","","","","","SEL-17-06","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
825,"Mercer","","","","","SEL-17-07","Sockeye-Lake",5,"",2,5,5,2,14,"None",1
826,"Skidegate","","","","","SEL-17-08","Sockeye-Lake",5,"",5,5,5,2,17,"None",1
827,"Yakoun","","","","","SEL-17-09","Sockeye-Lake",5,"",2,5,5,2,14,"None",1
927,"Fulmore","","","","","SEL-11-01","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
928,"Heydon","","","","","SEL-11-02","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
929,"Kakweiken","","","","","SEL-11-03","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
930,"Loose","","","","","SEL-11-04","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
931,"Mackenzie","","","","","SEL-11-05","Sockeye-Lake",5,"",2,5,1,0,8,"None",1
932,"Phillips","","","","","SEL-11-06","Sockeye-Lake",5,"",3,5,5,0,13,"None",2
933,"Sakinaw","","","","Sakinaw population","SEL-11-07","Sockeye-Lake",5,"Endangered",5,5,5,0,15,"High",1
935,"Tzoonie","","","","","SEL-11-09","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
936,"Village Bay","","","","","SEL-11-10","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
937,"Ida/Bonanza","","","","","SEL-12-01","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
938,"Nahwitti","","","","","SEL-12-02","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
939,"Nimpkish","","","","","SEL-12-03","Sockeye-Lake",5,"",4,5,5,0,14,"Low",2
941,"Quatse","","","","","SEL-12-05","Sockeye-Lake",4,"",0,0,0,0,0,"None",1
942,"Schoen","","","","","SEL-12-06","Sockeye-Lake",5,"",0,0,0,0,0,"None",NA
943,"Shushartie","","","","","SEL-12-07","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
944,"Woss","","","","","SEL-12-08","Sockeye-Lake",5,"",0,0,0,0,0,"None",NA
945,"Alice","","","","","SEL-13-01","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
946,"Canoe Creek","","","","","SEL-13-02","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
947,"Cecilia","","","","","SEL-13-03","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
948,"Cheewat","","","","","SEL-13-04","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
949,"Clayoquot","","","","","SEL-13-05","Sockeye-Lake",5,"",0,0,0,0,0,"None",2
950,"Deserted","","","","","SEL-13-06","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
951,"Fairy","","","","","SEL-13-07","Sockeye-Lake",5,"",0,0,0,0,0,"Low",3
952,"Great Central","","","","","SEL-13-08","Sockeye-Lake",5,"",0,0,0,3,3,"None",NA
953,"Henderson","","","","","SEL-13-09","Sockeye-Lake",5,"",5,5,2,0,12,"None",1
954,"Hesquiat","","","","","SEL-13-10","Sockeye-Lake",5,"",0,0,1,0,1,"None",1
955,"Hobiton","","","","","SEL-13-11","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
956,"Jansen","","","","","SEL-13-12","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
957,"Kanim","","","","","SEL-13-13","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
958,"Kennedy","","","","","SEL-13-14","Sockeye-Lake",5,"",0,0,0,0,0,"None",6
959,"Maggie","","","","","SEL-13-15","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
960,"Megin","","","","","SEL-13-16","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
961,"Muchalat","","","","","SEL-13-17","Sockeye-Lake",5,"",0,0,0,0,0,"None",3
962,"Muriel","","","","","SEL-13-18","Sockeye-Lake",5,"",0,0,0,0,0,"Low",3
963,"Nitinat","","","","","SEL-13-19","Sockeye-Lake",5,"",0,0,0,0,0,"None",2
964,"O'Connell","","","","","SEL-13-20","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
966,"Park River","","","","","SEL-13-22","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
967,"Power","","","","","SEL-13-23","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
969,"Sproat","","","","","SEL-13-25","Sockeye-Lake",5,"",0,0,0,3,3,"None",1
970,"William/Brink","","","","","SEL-13-26","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
976,"Vernon","","","","","SEL-12-09","Sockeye-Lake",5,"",0,0,0,0,0,"None",NA
216,"Skeena River-high interior","","SER41","USK","Upper Skeena River","SER-19","Sockeye-River",5,"",1,5,3,5,14,"None",1
226,"Skeena River","","SER39","LSK","Lower Skeena River","SER-18","Sockeye-River",5,"",0,0,0,0,0,"None",22
226,"Skeena River","","SER40","MSK","Middle Skeena River","SER-18","Sockeye-River",5,"",0,0,0,0,0,"None",22
426,"Lower Nass-Portland","","SER42","LNR-P","Lower Nass-Portland","SER-20","Sockeye-River",4,"",1,4,5,5,15,"None",17
427,"Upper Nass River","","SER43","UNR","Upper Nass River","SER-21","Sockeye-River",4,"",0,0,0,0,0,"None",3
613,"Rivers-Smith Inlets","","SER35","RSI","Rivers-Smith Inlets","SER-12","Sockeye-River",4,"",0,0,0,0,0,"None",10
615,"Northern Coastal","","SER38","HecLow","Hecate Lowlands","SER-17","Sockeye-River",4,"",0,0,0,0,0,"None",44
742,"Widgeon","","SER23","","Widgeon (River-Type) population","SER-02","Sockeye-River",4,"Threatened",0,0,0,0,0,"None",2
745,"Harrison River","","SER24","","Harrison (River-Type) population","SER-03","Sockeye-River",4,"Not at risk",4,5,5,5,19,"None",1
816,"East Haida Gwaii","","SER34","EHG","East Haida Gwaii","SER-13","Sockeye-River",NA,"",0,0,0,0,0,"None",14
817,"North Haida Gwaii","","SER","","","SER-14","Sockeye-River",NA,"",0,0,0,0,0,"None",25
818,"West Haida Gwaii","","","","","SER-15","Sockeye-River",NA,"",0,0,0,0,0,"None",2
971,"Southern Fjords","","SER27","SC-SFj","South Coast-Southern Fjords","SER-009","Sockeye-River",5,"",0,0,0,0,0,"None",NA
971,"Southern Fjords","","SER29","HK","Hamothko-Klinaklini-Southern Fjords","SER-009","Sockeye-River",5,"",0,0,0,0,0,"None",NA
972,"West Vancouver Island","","SER30","WVI","West Vancouver Is","SER-010","Sockeye-River",5,"",0,0,0,0,0,"Low",NA
973,"East Vancouver Island and Georgia Strait","","SER25","SC-GStr","South Coast-Georgia Strait","SER-08","Sockeye-River",5,"",0,0,0,0,0,"None",48
973,"East Vancouver Island and Georgia Strait","","SER26","EVI-GStr","East Vancouver Island-Georgia Strait","SER-08","Sockeye-River",5,"",0,0,0,0,0,"None",48
973,"East Vancouver Island and Georgia Strait","","SER28","EVI-SFj","East Vancouver Island-Southern Fjords","SER-08","Sockeye-River",5,"",0,0,0,0,0,"None",48
974,"NW Vancouver Island","","SER31","NWVI","Northwest Vancouver Is","SER-011","Sockeye-River",5,"",0,0,0,0,0,"None",NA
NA,"Northern Transboundary Fjords ","","SER44","LStk","Stikine River","SER-022","Sockeye-River",NA,"",NA,NA,NA,NA,NA,NA,NA
NA,"Northern Transboundary Fjords ","","SER45","TAKU","Taku River","SER-022","Sockeye-River",NA,"",NA,NA,NA,NA,NA,NA,NA
NA,"Northern Transboundary Fjords ","","SER46","Whiting","Whiting River","SER-022","Sockeye-River",NA,"",NA,NA,NA,NA,NA,NA,NA
NA,"Northern Transboundary Fjords ","","SER47","UNUK","Unuk River ","SER-022","Sockeye-River",NA,"",NA,NA,NA,NA,NA,NA,NA
NA,"Chilkat River","","SER48","CHILKAT","Chilkat River","SER-023","Sockeye-River",NA,"",NA,NA,NA,NA,NA,NA,NA
NA,"Alsek River ","","SER49","ALSEK","Alsek River ","","Sockeye-River",NA,"",NA,NA,NA,NA,NA,NA,NA
