cuid,cuname,ncc_cu,survey_quality,survey_coverage,survey_execution,catch_quality,dq_score
500,Smith Inlet,CM-12,1,5,3,2,11
501,Rivers Inlet,CM-13,1,2,2,2,7
502,Wannock,CM-14,0,0,0,0,0
503,Spiller-Fitz-Hugh-Burke,CM-15,1,3,3,2,9
504,Bella Colla-Dean Rivers,CM-16,1,5,4,2,12
505,Bella Coola River-Late,CM-17,0,0,0,0,0
506,Hecate Lowlands,CM-18,1,3,3,2,9
507,Mussel-Kynock,CM-19,1,5,4,2,12
508,Douglas-Gardner,CM-20,2,2,5,2,11
509,Docee,CK-36,0,0,0,0,0
510,Rivers Inlet,CK-37,1,3,1,3,8
511,Wannock,CK-38,1,3,2,3,9
512,Bella Coola-Bentinck,CK-39,1,5,2,5,13
513,Dean River,CK-40,1,5,1,3,10
514,NCC-late timing,CK-41,0,0,0,0,0
515,NCC-early timing,CK-42,0,1,3,3,7
516,Smith Inlet,CO-20,1,5,1,3,10
517,Rivers Inlet,CO-21,0,0,0,0,0
518,Bella Coola-Dean Rivers,CO-22,1,5,4,1,11
519,Mussel-Kynoch,CO-26,1,3,2,1,7
520,Hecate Strait Mainland,CO-27,1,3,1,1,6
521,Brim-Wahoo,CO-28,0,5,5,1,11
522,Douglas Channel-Kitimat Arm,CO-29,0,2,4,1,7
523,N Coastal Streams,CO-30,1,5,4,1,11
524,Long,SEL-15-01,1,5,2,2,10
525,Owikeno,SEL-15-02,1,3,4,2,10
526,Owikeno-Late,SEL-15-03,0,0,0,0,0
527,Wannock[Owikeno],SEL-15-04,0,0,0,0,0
528,South Atnarko Lakes,x,1,5,5,2,13
529,Backland,SEL-18-01,0,5,4,2,11
530,Soda Creek,SEL-18-10,0,0,0,0,0
531,Whalen,SEL-18-11,0,0,0,0,0
532,Canoona,SEL-18-02,1,5,3,2,11
533,Dome ,SEL-18-03,0,0,0,0,0
534,Evelyn,SEL-18-04,3,5,5,2,15
535,Kainet Creek,SEL-18-05,1,5,5,2,13
536,Kimsquit,SEL-18-06,0,0,0,0,0
537,Kitkiata,SEL-18-07,0,0,0,0,0
538,Kitlope,SEL-18-08,0,5,5,2,12
539,Pine River,SEL-18-09,0,0,0,0,0
540,Banks,SEL-19-01,0,0,0,0,0
541,Bloomfield,SEL-19-02,0,5,2,2,9
542,Bolton Creek,SEL-19-03,0,0,0,0,0
543,Bonilla,SEL-19-04,0,0,0,0,0
544,Borrowman Creek,SEL-19-05,0,0,0,0,0
545,Busey Creek,SEL-19-06,0,0,0,0,0
546,Cartwright Creek,SEL-19-07,0,0,0,0,0
547,Chic Chic ,SEL-19-08,0,0,0,0,0
548,Citeyats,SEL-19-09,0,0,0,0,0
549,Fannie Cove,SEL-19-10,0,0,0,0,0
550,Curtis Inlet,SEL-19-11,1,5,3,2,11
551,Dallain Creek,SEL-19-12,0,0,0,0,0
552,Deer,SEL-19-13,0,0,0,0,0
553,Devon,SEL-19-14,1,5,5,2,13
554,Douglas Creek,SEL-19-15,0,0,0,0,0
555,Elizabeth,SEL-19-16,0,0,0,0,0
556,Elsie/Hoy,SEL-19-17,0,0,0,0,0
557,End Hill Creek,SEL-19-18,0,0,0,0,0
558,Evinrude Inlet,SEL-19-19,0,0,0,0,0
559,Freeda,SEL-19-20,0,0,0,0,0
560,Hartley Bay,SEL-19-21,3,5,5,2,15
561,Hevenor Inlet,SEL-19-22,0,0,0,0,0
562,Higgins Lagoon,SEL-19-23,0,0,0,0,0
563,Kadjusdis River,SEL-19-24,0,5,2,2,9
564,Kdelmashan Creek,SEL-19-25,0,0,0,0,0
565,Keecha,SEL-19-26,1,5,3,2,11
566,Kent Inlet Lagoon Creek,SEL-19-27,0,0,0,0,0
567,Kenzuwash Creeks,SEL-19-28,0,0,0,0,0
568,Keswar Creek,SEL-19-29,0,0,0,0,0
569,Kildidt Creek,SEL-19-30,0,0,0,0,0
570,Kildidt Lagoon Creek,SEL-19-31,0,0,0,0,0
571,Kisameet,SEL-19-32,0,0,0,0,0
572,Koeye,SEL-19-33,0,0,0,0,0
573,Kooryet,SEL-19-34,0,5,4,2,11
574,Kunsoot River,SEL-19-35,0,0,0,0,0
575,Kwakwa Creek,SEL-19-36,0,0,0,0,0
576,Lewis Creek,SEL-19-37,0,0,0,0,0
577,Limestone Creek,SEL-19-38,0,0,0,0,0
578,Lowe/Simpson/Weir,SEL-19-39,0,5,4,2,11
579,Mary Cove Creek,SEL-19-40,0,5,1,2,8
580,Mcdonald Creek,SEL-19-41,0,0,0,0,0
581,Mcloughlin,SEL-19-42,0,0,0,0,0
582,Mikado,SEL-19-43,0,5,3,2,10
583,Monckton Inlet Creek,SEL-19-44,0,0,0,0,0
584,Namu,SEL-19-45,2,5,3,2,12
585,Port John,SEL-19-46,2,5,5,2,14
586,Powles Creek,SEL-19-47,0,0,0,0,0
587,Price Creek,SEL-19-48,0,0,0,0,0
588,Roderick,SEL-19-50,1,5,4,2,12
589,Ryan Creek,SEL-19-51,0,0,0,0,0
590,Salter,SEL-19-52,0,0,0,0,0
591,Scoular/Kilpatrick,SEL-19-53,0,0,0,0,0
592,Sheneeza Inlet,SEL-19-55,0,0,0,0,0
593,Ship Point Creek,SEL-19-56,0,0,0,0,0
594,Spencer Creek,SEL-19-57,0,0,0,0,0
595,Stannard Creek,SEL-19-58,0,0,0,0,0
596,Talamoosa Creek,SEL-19-59,0,0,0,0,0
597,Tankeeah River,SEL-19-60,1,5,2,2,10
598,Treneman Creek,SEL-19-61,0,0,0,0,0
599,Tsimtack/Moore/Roger,SEL-19-62,2,5,5,2,14
600,Tuno Creek East,SEL-19-63,0,0,0,0,0
601,Tuno Creek West,SEL-19-64,0,0,0,0,0
602,Tyler Creek,SEL-19-65,0,0,0,0,0
603,Wale Creek,SEL-19-66,0,0,0,0,0
604,Watt Bay,SEL-19-67,0,0,0,0,0
605,West Creek,SEL-19-68,0,0,0,0,0
606,Yaaklele Lagoon,SEL-19-69,0,0,0,0,0
607,Yeo,SEL-19-70,0,5,3,2,10
608,Hecate Lowlands,PKE-05,0,4,3,2,9
609,Hecate Strait-Fjords,PKE-06,0,4,4,2,10
610,Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean,PKO-08,0,2,1,2,5
611,Hecate Strait-Lowlands,PKO-12,1,3,3,2,9
612,Hecate Strait-Fjords,PKO-13,1,4,3,2,10
613,Rivers-Smith Inlets,SER-12,0,0,0,0,0
614,Northern Coastal Fjords,SER-16,0,0,0,0,0
615,Northern Coastal,SER-17,0,0,0,0,0
308,CK008-Middle Fraser-Fraser Canyon_SP_1.3,CK-008,0,0,0,0,0
303,CK003-Lower Fraser River_FA_0.3,CK-003,4,5,5,0,14
307,CK007-Maria Slough_SU_0.3,CK-007,0,0,0,0,0
304,CK004-Lower Fraser River_SP_1.3,CK-004,2,1,5,0,8
306,CK006-Lower Fraser River_SU_1.3,CK-006,0,0,0,0,0
305,CK005-Lower Fraser River-Upper Pitt_SU_1.3,CK-005,0,0,0,0,0
317,CK017-Lower Thompson_SP_1.2,CK-017,3,5,5,0,13
309,CK009-Middle Fraser River-Portage_FA_1.3,CK-009,0,0,0,0,0
310,CK010-Middle Fraser River_SP_1.3,CK-010,2,0,5,0,7
311,CK011-Middle Fraser River_SU_1.3,CK-011,3,1,4,0,8
318,CK018-North Thompson_SP_1.3,CK-018,3,1,5,0,9
319,CK019-North Thompson_SU_1.3,CK-019,2,3,5,0,10
315,CK015-Shuswap River_SU_0.3,CK-015,4,5,5,0,14
316,CK016-South Thompson-Bessette Creek_SU_1.2,CK-016,3,0,5,0,8
313,CK013-South Thompson_SU_0.3,CK-013,2,1,5,0,8
314,CK014-South Thompson_SU_1.3,CK-014,3,5,5,0,13
333,CK082-Upper Adams River_SU_x.x,CK-082,0,0,0,0,0
312,CK012-Upper Fraser River_SP_1.3,CK-012,2,0,5,0,7
701,Lower Fraser,CM-002,3,0,2,0,5
705,Fraser Canyon,CO-005,3,0,5,0,8
749,Interior Fraser,CO-048,3,0,4,0,7
704,Lillooet,CO-004,0,0,0,0,0
750,Lower Fraser,CO-047,0,0,0,0,0
707,Lower Thompson,CO-007,5,0,5,0,10
709,North Thompson,CO-009,3,0,5,0,8
708,South Thompson,CO-008,3,0,4,0,7
710,Fraser River,PKO-001,5,5,5,5,20
751,Adams and Momich Lakes_Early Summer,SEL-09-912,0,0,0,0,0
719,Anderson/Seton_Early Summer,SEL-06-001,4,5,5,5,19
735,Bowron_Early Summer,SEL-07-001,2,5,5,5,17
720,Chilko_Early Summer,SEL-06-002,0,0,0,0,0
721,Chilko_Summer,SEL-06-003,4,5,5,5,19
711,Chilliwack_Early Summer,SEL-03-001,3,5,5,0,13
712,Cultus_Late,SEL-03-002,5,5,5,5,20
725,Francois/Fraser_Summer,SEL-06-007,4,5,5,5,19
713,Harrison-downstream migrating_Late,SEL-03-003,3,5,5,0,13
714,Harrison-upstream migrating_Late,SEL-03-004,3,5,5,5,18
740,Kamloops_Early Summer,SEL-10-001,2,5,5,5,17
716,Lillooet/Harrison_Late,SEL-04-001,4,5,5,5,19
727,Nadina/Francois_Early Summer,SEL-06-020,4,5,5,5,19
718,Nahatlatch_Early Summer,SEL-05-002,2,5,5,0,12
752,North Barriere_Early Summer,SEL-10-003,3,5,5,5,18
715,Pitt_Early Summer,SEL-03-005,3,5,5,5,18
728,Quesnel_Summer,SEL-06-010,3,5,5,5,18
729,Seton_Late,SEL-06-011,0,0,0,5,5
738,Shuswap_Early Summer,SEL-09-002,0,0,0,5,5
739,Shuswap_Late,SEL-09-003,2,5,5,5,17
732,Takla/Trembleur_Early Stuart,SEL-06-014,3,5,5,5,18
731,Takla/Trembleur/Stuart_Summer,SEL-06-013,3,5,4,5,17
734,Taseko_Early Summer,SEL-06-016,2,5,5,0,12
745,Harrison River,SER-003,4,5,5,5,19
742,Widgeon,SER-002,0,0,0,0,0
302,CK002-Boundary Bay_FA_0.3,CK-002,0,0,0,0,0
906,Boundary Bay,CO-001,0,0,0,0,0
800,North Haida Gwaii-Stanley Creek,CM-25,1,5,0,2,8
801,East HG,CM-21,1,2,4,2,9
802,North Haida Gwaii,CM-24,1,2,2,2,7
803,West Haida Gwaii,CM-23,1,2,3,2,8
804,Skidegate,CM-22,1,3,4,2,10
805,Haida Gwaii-North,CK-43,0,0,0,0,0
806,Haida Gwaii-East,CK-44,0,0,0,0,0
807,HG-EAST,CO-23,1,1,3,3,8
808,HG-WEST,CO-24,1,1,2,3,7
809,HG-GRAHAM ISLAND LOWLANDS,CO-25,1,1,3,3,8
810,North Haida Gwaii,PKE-09,0,3,1,2,6
811,East Haida Gwaii,PKE-10,0,2,1,2,5
812,West Haida Gwaii,PKE-11,0,2,1,2,5
813,East Haida Gwaii,PKO-09,0,1,1,2,4
814,North Haida Gwaii,PKO-10,0,0,0,2,2
815,West Haida Gwaii,PKO-11,0,1,0,2,3
816,East Haida Gwaii,SER-13,0,0,0,0,0
817,North Haida Gwaii,SER-14,0,0,0,0,0
818,West Haida Gwaii,SER-15,0,0,0,0,0
819,Ain/Skundale/Ian,SEL-17-01,0,0,0,0,0
820,Awun,SEL-17-02,2,5,5,2,14
821,Fairfax,SEL-17-03,0,0,0,0,0
822,Jalun,SEL-17-04,0,0,0,0,0
823,MARIAN,SEL-17-05,2,5,5,2,14
824,Mathers,SEL-17-06,0,0,0,0,0
825,Mercer,SEL-17-07,2,5,5,2,14
826,Skidegate,SEL-17-08,5,5,5,2,17
827,Yakoun,SEL-17-09,2,5,5,2,14
401,Portland Sound-Observatory Inlet-Lower Nass,CK-57,1,2,2,5,10
402,Upper Nass,CK-58,2,5,5,5,17
405,Lower Nass,CM-31,0,0,4,3,7
406,Portland Canal-Observatory,CM-32,0,5,4,3,12
404,Portland Inlet,CM-30,1,5,1,3,10
408,Lower Nass,CO-35,1,1,4,3,9
410,Portland Sound-Observatory Inlet-Portland Canal,CO-37,1,1,2,3,7
409,Upper Nass,CO-36,2,2,4,3,11
414,Nass-Portland-Observatory,PKO-17,1,4,2,3,10
412,Upper Nass,NA,0,0,0,0,0
415,Upper Nass,NA,0,0,0,0,0
420,Bowser,NA,0,0,0,0,0
418,Clements,NA,0,0,0,0,0
421,Damdochax,SEL-24-02,4,5,4,5,18
422,Fred Wright,SEL-24-03,3,5,5,5,18
423,Kwinageese,NA,0,0,0,0,0
419,Leverson,NA,0,0,0,0,0
424,Meziadin,SEL-24-05,3,5,5,5,18
425,Oweegee,NA,0,0,0,0,0
416,Prudhomme,SEL-19-49,0,0,0,0,0
417,Shawatlan,SEL-19-54,0,0,0,0,0
426,Lower Nass-Portland,SER-20,1,4,5,5,15
427,Upper Nass River,SER-21,0,0,0,0,0
205,Ecstall,CK-46,0,0,0,0,0
210,Lower Skeena-CK,CK-48,1,3,1,5,10
206,Kalum-early timing,CK-49,0,0,0,0,0
207,Kalum-late timing,CK-50,1,5,4,5,15
222,Middle Skeena-large lakes,CK-53,3,5,5,5,18
217,Middle Skeena-mainstem tributaries,CK-54,1,4,2,5,12
221,Upper Bulkley River,CK-55,0,0,0,0,0
224,Skeena Estuary-CK,CK-45,0,0,0,0,0
212,Upper Skeena-CK,CK-56,0,0,0,0,0
227,Lakelse-CK,CK-51,0,0,0,0,0
229,Zymoetz,CK-80,0,0,0,0,0
241,Sicintine,CK-81,0,0,0,0,0
211,Lower Skeena-CM,CM-27,1,4,2,3,10
214,Middle Skeena-CM,CM-28,2,3,2,3,10
220,Skeena Estuary-CM,CM-26,0,2,1,3,6
242,Upper Skeena,NA,0,0,0,0,0
202,Lower Skeena-CO,CO-32,1,3,2,3,9
215,Middle Skeena-CO,CO-33,1,2,2,3,8
231,Upper Skeena-CO,CO-34,4,4,3,3,14
225,Skeena Estuary-CO,CO-31,0,0,0,0,0
240,Lower Skeena (even),NA,0,0,0,0,0
213,Middle & Upper Skeena (odd),PKO-16,1,3,2,3,9
219,Nass-Skeena Estuary (even),PKE-07,0,4,3,3,10
218,Middle-Upper Skeena (even),PKE-08,0,4,2,3,9
223,Nass-Skeena Estuary (odd),PKO-14,1,2,3,3,9
209,Lower Skeena (odd),PKO-15,1,3,2,3,9
174,Ecstall/Lower,SEL-20-04,0,0,0,0,0
181,Bulkley,SEL-21-03,0,0,0,0,0
194,Johanson,SEL-22-05,0,0,0,0,0
195,Kluatantan,SEL-22-06,0,0,0,0,0
196,Kluayaz,SEL-22-07,0,0,0,0,0
198,Sicintine,SEL-22-09,0,0,0,0,0
199,Slamgeesh,SEL-22-10,0,0,0,0,0
200,Spawning,SEL-22-11,0,0,0,0,0
201,Sustut,SEL-22-12,0,0,0,0,0
230,Footsore/Hodder,SEL-21-12,0,0,0,0,0
171,Alastair,SEL-20-01,1,4,5,5,15
175,Johnston,SEL-20-05,0,0,0,0,0
176,Kitsumkalum,SEL-20-06,1,2,2,5,10
177,Lakelse,SEL-20-07,1,5,3,5,14
178,Mcdonell,SEL-20-08,2,5,4,5,16
180,Babine,SEL-21-02-EW,2,5,5,5,17
203,Babine (enhanced),SEL-21-02-F,5,5,5,5,20
186,Nilkitkwa,SEL-21-02-LW,3,5,5,5,18
189,Tahlo/Morrison,SEL-21-02-MW,0,4,5,5,14
183,Gitanyow,SEL-21-05,3,5,5,5,18
185,Morice,SEL-21-07,3,4,5,5,17
187,Stephens,SEL-21-09,2,4,5,5,16
188,Swan,SEL-21-10,0,2,3,5,10
190,Asitika,SEL-22-01,0,5,4,5,14
191,Azuklotz,SEL-22-02,2,5,2,5,14
192,Bear,SEL-22-03,1,4,1,5,11
193,Damshilgwit,SEL-22-04,5,5,5,5,20
197,Motase,SEL-22-08,2,5,1,5,13
226,Skeena River,SER-18,0,0,0,0,0
216,Skeena River-high interior,SER-19,1,5,3,5,14
322,CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x,CK-022,5,5,5,0,15
321,CK021-East Vancouver Island-Goldstream_FA_0.x,CK-021,0,5,0,0,5
324,CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x,CK-025,3,5,5,0,13
325,CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x,CK-027,3,5,5,0,13
323,CK023-East Vancouver Island-Nanaimo_SP_1.x,CK-023,0,0,0,0,0
334,CK083-East Vancouver Island-Georgia Strait_SU_0.3,CK-083,4,5,5,0,14
331,CK034-Homathko_SU_x.x,CK-034,0,0,0,0,0
332,CK035-Klinaklini_SU_1.3,CK-035,0,0,0,0,0
327,CK029-East Vancouver Island-North_FA_0.x,CK-029,4,5,5,0,14
330,CK033-West Vancouver Island-North_FA_0.x,CK-033,3,0,2,0,5
320,CK020-Southern Mainland-Georgia Strait_FA_0.x,CK-020,0,0,0,0,0
326,CK028-Southern Mainland-Southern Fjords_FA_0.x,CK-028,3,0,2,0,5
328,CK031-West Vancouver Island-South_FA_0.x,CK-031,3,0,4,0,7
329,CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x,CK-032,3,0,5,0,8
901,Bute Inlet,CM-007,0,0,0,0,0
904,Georgia Strait,CM-004,3,5,4,0,12
905,Howe Sound-Burrand Inlet,CM-003,0,0,0,0,0
902,Loughborough,CM-006,2,1,3,0,6
903,Northeast Vancouver Island,CM-005,1,1,4,0,6
977,Northwest Vancouver Island,CM-011,2,1,3,3,9
900,Southern Coastal Streams,CM-008,3,0,1,0,4
978,Southwest & West  Vancouver Island,CM-010,3,0,4,3,10
979,Upper Knight,CM-009,0,0,0,0,0
915,Clayoquot,CO-018,3,0,3,0,6
910,East Vancouver Island-Georgia Strait,CO-013,3,0,2,0,5
911,East Vancouver Island-Johnstone Strait-Southern Fjords,CO-014,3,0,5,0,8
908,Georgia Strait Mainland,CO-011,3,0,2,0,5
916,Homathko-Klinaklini Rivers,CO-019,0,0,0,0,0
907,Howe Sound-Burrard Inlet,CO-010,0,0,0,0,0
913,Juan de Fuca-Pachena,CO-016,3,0,3,0,6
912,Nahwitti Lowland,CO-015,4,0,5,0,9
909,Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,CO-012,3,0,1,0,4
914,West Vancouver Island,CO-017,3,0,3,0,6
917,Georgia Strait,PKE-001,4,4,4,3,15
919,Northwest Vancouver Island,PKE-003,0,0,0,0,0
920,Southern Fjords,PKE-004,3,2,4,3,12
918,West Vancouver Island,PKE-002,0,0,0,0,0
921,East Howe Sound-Burrard Inlet,PKO-002,0,0,0,3,3
923,East Vancouver Island-Johnstone Strait,PKO-004,3,4,5,3,15
922,Georgia Strait,PKO-003,3,3,5,3,14
924,Nahwitti,PKO-005,5,2,3,3,13
926,Southern Fjords,PKO-007,3,1,2,3,9
925,West Vancouver Island,PKO-006,0,0,0,0,0
945,Alice,SEL-13-001,0,0,0,0,0
946,Canoe Creek,SEL-13-002,0,0,0,0,0
947,Cecilia,SEL-13-003,0,0,0,0,0
948,Cheewat,SEL-13-004,0,0,0,0,0
949,Clayoquot,SEL-13-005,0,0,0,0,0
950,Deserted,SEL-13-006,0,0,0,0,0
951,Fairy,SEL-13-007,0,0,0,0,0
927,Fulmore,SEL-11-001,0,0,0,0,0
952,Great Central,SEL-13-008,0,0,0,3,3
953,Henderson,SEL-13-009,5,5,2,0,12
954,Hesquiat,SEL-13-010,0,0,1,0,1
928,Heydon,SEL-11-002,0,0,0,0,0
955,Hobiton,SEL-13-011,0,0,0,0,0
937,Ida/Bonanza,SEL-12-001,0,0,0,0,0
956,Jansen,SEL-13-012,0,0,0,0,0
929,Kakweiken,SEL-11-003,0,0,0,0,0
957,Kanim,SEL-13-013,0,0,0,0,0
958,Kennedy,SEL-13-014,0,0,0,0,0
930,Loose,SEL-11-004,0,0,0,0,0
931,Mackenzie,SEL-11-005,2,5,1,0,8
959,Maggie,SEL-13-015,0,0,0,0,0
960,Megin,SEL-13-016,0,0,0,0,0
961,Muchalat,SEL-13-017,0,0,0,0,0
962,Muriel,SEL-13-018,0,0,0,0,0
938,Nahwitti,SEL-12-002,0,0,0,0,0
939,Nimpkish,SEL-12-003,4,5,5,0,14
963,Nitinat,SEL-13-019,0,0,0,0,0
964,O'Connell,SEL-13-020,0,0,0,0,0
966,Park River,SEL-13-022,0,0,0,0,0
932,Phillips,SEL-11-006,3,5,5,0,13
967,Power,SEL-13-023,0,0,0,0,0
941,Quatse,SEL-12-005,0,0,0,0,0
933,Sakinaw,SEL-11-007,5,5,5,0,15
942,Schoen,SEL-12-006,0,0,0,0,0
943,Shushartie,SEL-12-007,0,0,0,0,0
969,Sproat,SEL-13-025,0,0,0,3,3
935,Tzoonie,SEL-11-009,0,0,0,0,0
976,Vernon,SEL-12-009,0,0,0,0,0
936,Village Bay,SEL-11-010,0,0,0,0,0
970,William/Brink,SEL-13-026,0,0,0,0,0
944,Woss,SEL-12-008,0,0,0,0,0
973,East Vancouver Island and Georgia Strait,SER-008,0,0,0,0,0
974,NW Vancouver Island,SER-011,0,0,0,0,0
971,Southern Fjords,SER-009,0,0,0,0,0
972,West Vancouver Island,SER-010,0,0,0,0,0