cuid,cuname,cu_acronym,du_number,DU_name,du_acronym,trtc_cu,FULL_CU_IN,spp,gen_length,COSEWIC_status,last_assessed,ca_check_012022
171,Alastair,ALASTAIR,SE149,Alastair,ALASTAIR,SX_L-20-01,SEL-20-01,Sockeye-Lake,6,,NA,y
172,Aldrich,ALDRICH,SE150,Aldrich,ALDRICH,NA,NA,Sockeye-Lake,5,,NA,2021 SE DU report has CU index as L-20-2
173,Dennis,DENNIS,SE151,Dennis,DENNIS,NA,NA,Sockeye-Lake,5,,NA,2021 SE DU report has CU index as L-20-3
174,Ecstall/Lower,ECSTALL/LOWER,SE152,Ecstall/Lower,ECSTALL/LOWER,NA,SEL-20-04,Sockeye-Lake,5,,NA,y
175,Johnston,JOHNSTON,SE153,Johnston,JOHNSTON,SX_L-20-05,SEL-20-05,Sockeye-Lake,5,,NA,y
176,Kitsumkalum,,SE154,Kitsumkalum,KALUM,SX_L-20-06,SEL-20-06,Sockeye-Lake,5,,NA,No reference in 2015 or 2021 COSEWIC SE DU reports
177,Lakelse,LAKELSE,SE155,Lakelse,LAKELSE,SX_L-20-07,SEL-20-07,Sockeye-Lake,5,,NA,y
178,Mcdonell,MCDONELL,SE156,Mcdonell,MCDONELL,SX_L-20-08,SEL-20-08,Sockeye-Lake,5,,NA,y
179,Atna,ATNA,SE157,Atna,ATNA,NA,NA,Sockeye-Lake,5,,NA,2021 SE DU report has CU index as L-21-1
180,Babine,BABINE,SE158,Babine,BABINE,SX_L-21-02-EW,SEL-21-02-EW,Sockeye-Lake,5,,NA,y
181,Bulkley,BULKLEY,SE159,Bulkley,BULKLEY,NA,SEL-21-03,Sockeye-Lake,5,,NA,y
182,Club Lake,,,,,NA,NA,Sockeye-Lake,5,,NA,No reference to corresponding DU in 2015 or 2021 COSEWIC SE DU reports; Skeena region; displayed on PSE as Swan/Club
183,Gitanyow,,SE160,Kitwancool,KITWANCOOL,SX_L-21-05,SEL-21-05,Sockeye-Lake,5,,NA,y
184,Maxan,MAXAN,SE161,Maxan,MAXAN,NA,NA,Sockeye-Lake,5,,NA,2021 SE DU report has CU index as L-21-6
185,Morice,MORICE,SE162,Morice,MORICE,SX_L-21-07,SEL-21-07,Sockeye-Lake,6,,NA,y
186,Nilkitkwa,,,,,SX_L-21-02-LW,SEL-21-02-LW,Sockeye-Lake,5,,NA,No reference to corresponding DU in 2015 or 2021 COSEWIC SE DU reports; Skeena region; Data on PSE 
187,Stephens,STEPHENS,SE163,Stephens,STEPHENS,SX_L-21-09,SEL-21-09,Sockeye-Lake,5,,NA,y
188,Swan,,,,,SX_L-21-10,SEL-21-10,Sockeye-Lake,5,,NA,No reference to corresponding DU in 2015 or 2021 COSEWIC SE DU reports; Skeena region; displayed on PSE as Swan/Club
189,Tahlo/Morrison,,SE164,Tahlo/Morrison,TAHLO/MORRISON,SX_L-21-02-MW,SEL-21-02-MW,Sockeye-Lake,5,,NA,"Name matches but CU index from 2021 SE DU Report doesn't match the one here, there CU index = L-21-11"
190,Asitika,ASITIKA,SE166,Asitika,ASITIKA,SX_L-22-01,SEL-22-01,Sockeye-Lake,5,,NA,y
191,Azuklotz,AZUKLOTZ,SE167,Azuklotz,AZUKLOTZ,SX_L-22-02,SEL-22-02,Sockeye-Lake,5,,NA,y
192,Bear,BEAR,SE168,Bear,BEAR,SX_L-22-03,SEL-22-03,Sockeye-Lake,5,,NA,y
193,Damshilgwit,DAMSHILGWIT,SE169,Damshilgwit,DAMSHILGWIT,SX_L-22-04,SEL-22-04,Sockeye-Lake,5,,NA,y
194,Johanson,JOHANSON,SE170,Johanson,JOHANSON,NA,SEL-22-05,Sockeye-Lake,5,,NA,y
195,Kluatantan,KLUATANTAN,SE171,Kluatantan,KLUATANTAN,NA,SEL-22-06,Sockeye-Lake,5,,NA,y
196,Kluayaz,KLUAYAZ,SE172,Kluayaz,KLUAYAZ,NA,SEL-22-07,Sockeye-Lake,5,,NA,y
197,Motase,MOTASE,SE173,Motase,MOTASE,SX_L-22-08,SEL-22-08,Sockeye-Lake,5,,NA,y
198,Sicintine,SICINTINE,SE174,Sicintine,SICINTINE,NA,SEL-22-09,Sockeye-Lake,5,,NA,y
199,Slamgeesh,SLAMGEESH,SE175,Slamgeesh,SLAMGEESH,NA,SEL-22-10,Sockeye-Lake,5,,NA,y
200,Spawning,SPAWNING,SE176,Spawning,SPAWNING,NA,SEL-22-11,Sockeye-Lake,5,,NA,y
201,Sustut,SUSTUT,SE177,Sustut,SUSTUT,NA,SEL-22-12,Sockeye-Lake,5,,NA,y
202,Lower Skeena-CO,LSKNA,CO26,Lower Skeena,LSK,CO_32,CO-32,Coho,3,,NA,y
203,Babine (enhanced),,SE158,Babine,BABINE,SX_L-21-02-F,SEL-21-02-F,Sockeye-Lake,5,,NA,y
204,Babine-Pinkut,,,,,NA,NA,Sockeye-Lake,5,,NA,No reference to corresponding DU in 2015 or 2021 COSEWIC SE DU reports; Not displayed on PSE under this name 
205,Ecstall,,CK41,"Ecstall, Ocean, Summer",ECST,CN_46,CK-46,Chinook,6,,NA,
206,Kalum-early timing,,CK43,"Kalum Ð Early Timing, Stream, Spring",KALUM-E,CN_49,CK-49,Chinook,6,,NA,
207,Kalum-late timing,,CK44,"Kalum Ð Late Timing, Stream, Summer",KALUM-L,CN_50,CK-50,Chinook,6,,NA,
209,Lower Skeena (odd),,PO24,Lower Skeena,,PKo_15,PKO-15,Pink,2,,NA,y
210,Lower Skeena-CK,,CK42,"Lower Skeena, Stream, Summer",LSK,CN_48,CK-48,Chinook,6,,NA,
211,Lower Skeena-CM,,CM26,Lower Skeena,,CM_27,CM-27,Chum,4,,NA,y
212,Upper Skeena-CK,,CK48,"Upper Skeena River, Stream, Spring",USK,NA,CK-56,Chinook,6,,NA,
213,Middle & Upper Skeena (odd),,PO25,Middle Skeena,,PKo_16,PKO-16,Pink,2,,NA,y
213,Middle & Upper Skeena (odd),,PO26,Upper Skeena,,PKo_16,PKO-16,Pink,2,,NA,y
214,Middle Skeena-CM,,CM27,Middle Skeena,,CM_28,CM-28,Chum,NA,,NA,y
215,Middle Skeena-CO,MSKNA,CO27,Middle Skeena,MSK,CO_33,CO-33,Coho,3,,NA,y
216,Skeena River-high interior,,SE041,Upper Skeena River,USK,SX_R19,SER-19,Sockeye-River,5,,NA,y
217,Middle Skeena-mainstem tributaries,,CK47,"Middle Skeena-M/S Tributary, Stream, Summer",MSK-M/S,CN_54,CK-54,Chinook,6,,NA,
218,Middle-Upper Skeena (even),,PE17,Middle Skeena,,PKe_8,PKE-08,Pink,2,,NA,y
218,Middle-Upper Skeena (even),,PE18,Upper Skeena ,,PKe_8,PKE-08,Pink,2,,NA,y
219,Nass-Skeena Estuary (even),,PE15,Skeena Estuary,,PKe_7,PKE-07,Pink,2,,NA,y
219,Nass-Skeena Estuary (even),,PE16,Lower Skeena,,PKe_7,PKE-07,Pink,2,,NA,y
219,Nass-Skeena Estuary (even),,PE19,Lower Nass - Portland Canal ,,PKe_7,PKE-07,Pink,2,,NA,y
220,Skeena Estuary-CM,,CM25,Skeena Estuary,,CM_26,CM-26,Chum,NA,,NA,y
221,Upper Bulkley River,,CK45,"Bulkley River, Stream, Spring",,CN_55,CK-55,Chinook,6,,NA,
222,Middle Skeena-large lakes,,CK46,"Middle Skeena Ð Lakes, Stream, Summer",MSK-LKS,CN_53,CK-53,Chinook,6,,NA,
223,Nass-Skeena Estuary (odd),,PO23,Skeena Estuary,,PKo_14,PKO-14,Pink,2,,NA,y
224,Skeena Estuary-CK,,CK40,"Skeena Estuary, Stream, Summer",SKEst,NA,CK-45,Chinook,6,,NA,
225,Skeena Estuary-CO,NSKEst,CO25,Skeena Estuary,NSKEst,CO_31,CO-31,Coho,3,,NA,y
226,Skeena River,,SE039,Lower Skeena River,LSK,NA,SER-18,Sockeye-River,5,,NA,y
226,Skeena River,,SE040,Middle Skeena River,MSK,NA,SER-18,Sockeye-River,5,,NA,y
227,Lakelse-CK,,CK42,"Lower Skeena, Stream, Summer",LSK,NA,CK-51,Chinook,6,,NA,
229,Zymoetz,,CK42,"Lower Skeena, Stream, Summer",LSK,NA,CK-80,Chinook,6,,NA,
230,Footsore/Hodder,FOOTSORE/HODDER,SE165,Footsore/Hodder,FOOTSORE/HODDER,NA,SEL-21-12,Sockeye-Lake,5,,NA,y
231,Upper Skeena-CO,USKNA,CO28,Upper Skeena,USK,CO_34,CO-34,Coho,3,,NA,y
240,Lower Skeena (even),,,,,NA,NA,Pink,2,,NA,"Check? No CU index but name matches ""Lower Skeena"" even pink DU"
241,Sicintine,,CK48,"Upper Skeena River, Stream, Spring",,NA,CK-81,Chinook,6,,NA,
243,Onerka,ONERKA,T47,Onerka,ONERKA,NA,NA,Sockeye-Lake,5,,NA,Marked as Tentative in 2021 COSEWIC SE DU report 
301,Okanagan,OK,CK69,"Okanagan River, Ocean, Fall",OK+ORWA/Ocean/Fall,CK-001,CK-1,Chinook,,Endangered,2017,y
302,CK002-Boundary Bay_FA_0.3,BB,CK1,"Southern Mainland Boundary Bay, Ocean, Fall population",BB+GStr/Ocean/Fall,CK-002,CK-2,Chinook,5,Threatened,2020,y
303,CK003-Lower Fraser River_FA_0.3,LFR-fall,CK2,"Lower Fraser, Ocean, Fall population (Harrison)",LFR+GStr/Ocean/Fall,CK-003,CK-3,Chinook,4,Threatened,2018,y
304,CK004-Lower Fraser River_SP_1.3,LFR-spring,CK3,"Lower Fraser, Stream, Spring population (Birkenhead)",LFR+GStr/Stream/Spring,CK-004,CK-4,Chinook,5,Special Concern,2018,y
305,CK005-Lower Fraser River-Upper Pitt_SU_1.3,LFR-UPITT,CK4,"Lower Fraser, Stream, Summer (Upper Pitt) population",LFR+GStr/Stream/Summer(Upper Pitt),CK-005,CK-5,Chinook,5,Endangered,2018,y
306,CK006-Lower Fraser River_SU_1.3,LFR-summer,CK5,"Lower Fraser, Stream, Summer (Lillooet) population",LFR+GStr/Stream/Summer,CK-006,CK-6,Chinook,5,Threatened,2018,y
307,CK007-Maria Slough_SU_0.3,Maria,CK6,"Lower Fraser, Ocean, Summer (Maria Slough) population",LFR+GStr/Ocean/Summer,CK-007,CK-7,Chinook,4,Endangered,2020,y
308,CK008-Middle Fraser-Fraser Canyon_SP_1.3,NAHAT,CK7,"Middle Fraser, Stream, Spring (FR Canyon) population",FRCanyGStr/Stream/Spring,CK-008,CK-8,Chinook,5,Endangered,2018,y
309,CK009-Middle Fraser River-Portage_FA_1.3,Portage,CK8,"Middle Fraser, Stream, Fall (Portage) population",MFR+GStr/Stream/Fall,CK-009,CK-9,Chinook,5,Endangered,2018,y
310,CK010-Middle Fraser River_SP_1.3,MFR-spring,CK9,"Middle Fraser, Stream, Spring (MFR+GStr) population",MFR+GStr/Stream/Spring,CK-010,CK-10,Chinook,5,Threatened,2018,y
311,CK011-Middle Fraser River_SU_1.3,MFR-summer,CK10,"Middle Fraser, Stream, Summer population",MFR+GStr/Stream/Summer,CK-011,CK-11,Chinook,5,Threatened,2018,y
312,CK012-Upper Fraser River_SP_1.3,UFR-spring,CK11,"Upper Fraser, Stream, Spring population",UFR/Stream/Spring,CK-012,CK-12,Chinook,5,Endangered,2018,y
313,CK013-South Thompson_SU_0.3,STh-0.3,CK12,"South Thompson, Ocean, Summer population",STh+GStr/Ocean/Summer,CK-013,CK-13,Chinook,4,Not at risk,2018,y
314,CK014-South Thompson_SU_1.3,STh-1.3,CK13,"South Thompson, Stream, Summer 1.3 population",STh+GStr/Stream/Summer,CK-014,CK-14,Chinook,5,Endangered,2020,y
315,CK015-Shuswap River_SU_0.3,STh-SHUR,CK12,"South Thompson, Ocean, Summer population",STh+GStr/Ocean/Summer,CK-015,CK-15,Chinook,4,Not at risk,2018,y
316,CK016-South Thompson-Bessette Creek_SU_1.2,STh-BESS,CK14,"South Thompson, Stream, Summer 1.2 (Bessette) population",STh+GStr/Stream/Summer/(Bessette),CK-016,CK-16,Chinook,4,Endangered,2018,y
317,CK017-Lower Thompson_SP_1.2,LTh,CK15,"Lower Thompson, Stream, Spring population",LTh+GStr/Stream/Spring,CK-017,CK-17,Chinook,4,Endangered,2020,y
318,CK018-North Thompson_SP_1.3,NTh-spr,CK16,"North Thompson, Stream, Spring population",NTh+GStr/Stream/Spring,CK-018,CK-18,Chinook,5,Endangered,2018,y
319,CK019-North Thompson_SU_1.3,NTh-sum,CK17,"North Thompson, Stream, Summer population",NTh+Gstr/Stream/Summer,CK-019,CK-19,Chinook,5,Endangered,2018,y
320,CK020-Southern Mainland-Georgia Strait_FA_0.x,SC-GStr,CK18,"South Coast - Georgia Strait, Ocean, Fall population",SC+GStr/Ocean/Fall,CK-020,CK-20,Chinook,4,Data Deficient,2020,y
321,CK021-East Vancouver Island-Goldstream_FA_0.x,Goldstr,CK21,"East Vancouver Island, Ocean, Fall population",EVI+GStr/Ocean/Fall,CK-021,CK-21,Chinook,3,Special Concern,2020,y
322,CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x,CWCH-KOK,CK21,"East Vancouver Island, Ocean, Fall population",EVI+GStr/Ocean/Fall,CK-022,CK-22,Chinook,3,Special Concern,2020,y
323,CK023-East Vancouver Island-Nanaimo_SP_1.x,NanR-spr,CK19,"East Vancouver Island, Stream, Spring population",EVI+GStr/Stream/Spring,CK-023,CK-23,Chinook,4,Endangered,2018,y
324,CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x,EVI-fall,CK21,"East Vancouver Island, Ocean, Fall population",EVI+GStr/Ocean/Fall,CK-025,CK-25,Chinook,3,Special Concern,2020,y
325,CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,CK21,"East Vancouver Island, Ocean, Fall population",EVI+GStr/Ocean/Fall,CK-027,CK-27,Chinook,4,Special Concern,2020,y
326,CK028-Southern Mainland-Southern Fjords_FA_0.x,SC+SFj,CK22,"South Coast - Southern Fjords, Ocean, Fall population",SC+SFj/Ocean/Fall,CK-028,CK-28,Chinook,4,Data Deficient,2020,y
327,CK029-East Vancouver Island-North_FA_0.x,NEVI,CK23,"East Vancouver Island - North, Ocean, Fall (EVI + SFj) population",EVI+SFj/Ocean/Fall,CK-029,CK-29,Chinook,4,Not at risk,2020,y
328,CK031-West Vancouver Island-South_FA_0.x,SWVI,CK24,"West Vancouver Island, Ocean, Fall (South) population",WVI/Ocean/Fall (South),CK-031,CK-31,Chinook,4,Threatened,2020,y
329,CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,CK25,"West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population",WVI/Ocean/Fall (Nootka & Kyuquot),CK-032,CK-32,Chinook,4,Threatened,2020,y
330,CK033-West Vancouver Island-North_FA_0.x,NWVI,CK26,"West Vancouver Island - North, Ocean, Fall (WVI + WQCI) population",WVI+WHG/Ocean/Fall,CK-033,CK-33,Chinook,4,Data Deficient,2020,y
331,CK034-Homathko_SU_x.x,HOMATH,CK27,Southern Mainland Ocean Summer,HK+SFj/Ocean/Summer,CK-034,CK-34,Chinook,5,Data Deficient,2018,y
332,CK035-Klinaklini_SU_1.3,KLINA,CK28,Southern Mainland Stream Summer,HK+SFj/Stream/Summer,CK-035,CK-35,Chinook,5,Data Deficient,2018,y
333,CK082-Upper Adams River_SU_x.x,UAdams-summer,CK29,"Upper Adams, Stream, Summer",STh+GStr/Stream/Summer,CK-082,CK-82,Chinook,5,,NA,y
334,CK083-East Vancouver Island-Georgia Strait_SU_0.3,EVIGStr-sum,CK20,"East Vancouver Island, Ocean, Summer population",EVI+GStr/Ocean/Summer,CK-083,CK-83,Chinook,4,Endangered,2020,y
401,Portland Sound-Observatory Inlet-Lower Nass,,CK49,"Lower Nass River, Stream, Summer",LNR-P,CN_57,CK-57,Chinook,5,,NA,y
402,Upper Nass,,CK50,"Upper Nass River, Stream, Summer",UNR,CN_58,CK-58,Chinook,5,,NA,y
404,Portland Inlet,,CM28,Portland Canal,,CM_30,CM-30,Chum,4,,NA,y
405,Lower Nass,,CM29,Lower Nass River,,CM_31,CM-31,Chum,4,,NA,y
406,Portland Canal-Observatory,,CM30,Portland Canal - Observatory Inlet ,,CM_32,CM-32,Chum,4,,NA,y
408,Lower Nass,LNASS,CO29,Lower Nass - Portland Canal ,LNR-P,CO_35,CO-35,Coho,3,,NA,y
409,Upper Nass,UNASS,CO30,Upper Nass,UNR,CO_36,CO-36,Coho,3,,NA,y
410,Portland Sound-Observatory Inlet-Portland Canal,PORT,CO29,Lower Nass - Portland Canal ,LNR-P,CO_37,CO-37,Coho,3,,NA,y
412,Upper Nass,,,,,NA,NA,Pink,,,NA,"Check? No CU index but name matches ""Upper Nass"" odd and even pink Dus"
414,Nass-Portland-Observatory,,PO27,Lower Nass - Portland Canal,,PKo_17,PKO-17,Pink,2,,NA,y
415,Upper Nass,,,,,NA,NA,Pink,,,NA,"Check? No CU index but name matches ""Upper Nass"" odd and even pink Dus"
416,Prudhomme,PRUDHOMME,SE137,Prudhomme,PRUDHOMME,SX_L-19-49,SEL-19-49,Sockeye-Lake,5,,NA,y
417,Shawatlan,SHAWATLAN,SE141,Shawatlan,SHAWATLAN,SX_L-19-54,SEL-19-54,Sockeye-Lake,5,,NA,y
418,Clements,CLEMENTS ,T48,Clements,CLEMENTS ,NA,NA,Sockeye-Lake,,,NA,Marked as Tentative in 2021 COSEWIC SE DU report 
419,Leverson,,T49,Split Mountain/Leverson,SPLIT_MTN/LEVERSON,NA,NA,Sockeye-Lake,,,NA,Not sure this is the right match; no CU index to compare; partial name match
420,Bowser,BOWSER,SE178,Bowser,BOWSER,NA,NA,Sockeye-Lake,,,NA,2021 SE DU report has CU index = L-24-1
421,Damdochax,DAMDOCHAX,SE179,Damdochax/Wiminasik,DAMDOCHAX,SX_L-24-02,SEL-24-02,Sockeye-Lake,5,,NA,y
422,Fred Wright,FWRIGHT,SE180,Fred Wright,FWRIGHT,SX_L-24-03,SEL-24-03,Sockeye-Lake,5,,NA,y
423,Kwinageese,KWINAGEESE,SE181,Kwinageese,KWINAGEESE,NA,NA,Sockeye-Lake,,,NA,2021 SE DU report has CU index = L-24-4
424,Meziadin,MEZIADIN,SE182,Meziadin,MEZIADIN,SX_L-24-05,SEL-24-05,Sockeye-Lake,5,,NA,y
425,Oweegee,OWEEGEE,SE183,Oweegee,OWEEGEE,NA,NA,Sockeye-Lake,,,NA,2021 SE DU report has CU index = L-24-6
426,Lower Nass-Portland,,SE042,Lower Nass-Portland,LNR-P,SX_R20,SER-20,Sockeye-River,4,,NA,y
427,Upper Nass River,,SE043,Upper Nass River,UNR,SX_R21,SER-21,Sockeye-River,4,,NA,y
500,Smith Inlet,,CM17,Smith Inlet,,CM_12,CM-12,Chum,4,,NA,y
501,Rivers Inlet,,CM16,Rivers Inlet,,CM_13,CM-13,Chum,4,,NA,y
502,Wannock,,CM18,Wannock River,,CM_14,CM-14,Chum,4,,NA,y
503,Spiller-Fitz-Hugh-Burke,,CM22,Spiller-Fitzhugh-Burke,,CM_15,CM-15,Chum,4,,NA,y
504,Bella Colla-Dean Rivers,,CM19,Bella Coola - Dean Rivers,,CM_16,CM-16,Chum,4,,NA,y
505,Bella Coola River-Late,,CM20,Bella Coola River - Late,,CM_17,CM-17,Chum,4,,NA,y
506,Hecate Lowlands,,CM21,Hecate Strait Mainland,,CM_18,CM-18,Chum,4,,NA,y
507,Mussel-Kynock,,CM23,Mussel-Kynoch,,CM_19,CM-19,Chum,4,,NA,y
508,Douglas-Gardner,,CM24,Northern Coastal Streams,,CM_20,CM-20,Chum,4,,NA,y
509,Docee,,CK32,"Smith Inlet, Ocean, Summer",SMITH,CN_36,CK-36,Chinook,4,,NA,y
510,Rivers Inlet,,CK33,"Rivers Inlet, Stream, Summer",RIVERS,CN_37,CK-37,Chinook,5,,NA,y
511,Wannock,,CK34,Wannock,WANN,CN_38,CK-38,Chinook,5,,NA,y
512,Bella Coola-Bentinck,,CK35,"Bella Coola-Bentinck, Ocean, Summer",BCR-BENT,CN_39,CK-39,Chinook,5,,NA,y
513,Dean River,,CK36,"Dean River, Stream, Summer",DEAN,CN_40,CK-40,Chinook,5,,NA,y
514,NCC-late timing,,CK37,"North & Central Coast Late,
Ocean/Stream, Summer",NCC Late,CN_41,CK-41,Chinook,5,,NA,y
515,NCC-early timing,,CK38,"North & Central Coast Early, Ocean, Spring",NCC early,CN_42,CK-42,Chinook,5,,NA,y
516,Smith Inlet,Smith,CO21,Rivers-Smith Inlet,RSI,CO_20,CO-20,Coho,3,,NA,y
517,Rivers Inlet,Rivers,CO21,Rivers-Smith Inlet,RSI,CO_21,CO-21,Coho,3,,NA,y
518,Bella Coola-Dean Rivers,BCD,CO22,Bella Coola - Dean Rivers,BCD,CO_22,CO-22,Coho,3,,NA,y
519,Mussel-Kynoch,MusKyn,CO24,Northern Coastal Streams,NCS,CO_26,CO-26,Coho,3,,NA,y
