cuid,cuname,cu_acronym,du_number,du_acronym,DU_name,trtc_cu,FULL_CU_IN,spp,gen_length,COSEWIC_status,ca_check_012022,
205,Ecstall,,CK41,ECST,"Ecstall, Ocean, Summer",CN_46,CK-46,Chinook,6,,,
206,Kalum-early timing,,CK43,KALUM-E,"Kalum Ð Early Timing, Stream, Spring",CN_49,CK-49,Chinook,6,,,
207,Kalum-late timing,,CK44,KALUM-L,"Kalum Ð Late Timing, Stream, Summer",CN_50,CK-50,Chinook,6,,,
210,Lower Skeena-CK,,CK42,LSK,"Lower Skeena, Stream, Summer",CN_48,CK-48,Chinook,6,,,
212,Upper Skeena-CK,,CK48,USK,"Upper Skeena River, Stream, Spring",NA,CK-56,Chinook,6,,,
217,Middle Skeena-mainstem tributaries,,CK47,MSK-M/S,"Middle Skeena-M/S Tributary, Stream, Summer",CN_54,CK-54,Chinook,6,,,
221,Upper Bulkley River,,CK45,,"Bulkley River, Stream, Spring",CN_55,CK-55,Chinook,6,,,
222,Middle Skeena-large lakes,,CK46,MSK-LKS,"Middle Skeena Ð Lakes, Stream, Summer",CN_53,CK-53,Chinook,6,,,
224,Skeena Estuary-CK,,CK40,SKEst,"Skeena Estuary, Stream, Summer",NA,CK-45,Chinook,6,,,
227,Lakelse-CK,,CK42,LSK,"Lower Skeena, Stream, Summer",NA,CK-51,Chinook,6,,,
229,Zymoetz,,CK42,LSK,"Lower Skeena, Stream, Summer",NA,CK-80,Chinook,6,,,
241,Sicintine,,,,,NA,CK-81,Chinook,6,,,
301,Okanagan,OK,CK69,OK+ORWA/Ocean/Fall,"Okanagan River, Ocean, Fall",CK-001,CK-1,Chinook,,Endangered,y,
302,CK002-Boundary Bay_FA_0.3,BB,CK1,BB+GStr/Ocean/Fall,"Southern Mainland Boundary Bay, Ocean, Fall population",CK-002,CK-2,Chinook,5,Threatened,y,
303,CK003-Lower Fraser River_FA_0.3,LFR-fall,CK2,LFR+GStr/Ocean/Fall,"Lower Fraser, Ocean, Fall population (Harrison)",CK-003,CK-3,Chinook,4,Threatened,y,
304,CK004-Lower Fraser River_SP_1.3,LFR-spring,CK3,LFR+GStr/Stream/Spring,"Lower Fraser, Stream, Spring population (Birkenhead)",CK-004,CK-4,Chinook,5,Special Concern,y,
305,CK005-Lower Fraser River-Upper Pitt_SU_1.3,LFR-UPITT,CK4,LFR+GStr/Stream/Summer(Upper Pitt),"Lower Fraser, Stream, Summer (Upper Pitt) population",CK-005,CK-5,Chinook,5,Endangered,y,
306,CK006-Lower Fraser River_SU_1.3,LFR-summer,CK5,LFR+GStr/Stream/Summer,"Lower Fraser, Stream, Summer (Lillooet) population",CK-006,CK-6,Chinook,5,Threatened,y,
307,CK007-Maria Slough_SU_0.3,Maria,CK6,LFR+GStr/Ocean/Summer,"Lower Fraser, Ocean, Summer (Maria Slough) population",CK-007,CK-7,Chinook,4,Endangered,y,
308,CK008-Middle Fraser-Fraser Canyon_SP_1.3,NAHAT,CK7,FRCanyGStr/Stream/Spring,"Middle Fraser, Stream, Spring (FR Canyon) population",CK-008,CK-8,Chinook,5,Endangered,y,
309,CK009-Middle Fraser River-Portage_FA_1.3,Portage,CK8,MFR+GStr/Stream/Fall,"Middle Fraser, Stream, Fall (Portage) population",CK-009,CK-9,Chinook,5,Endangered,y,
310,CK010-Middle Fraser River_SP_1.3,MFR-spring,CK9,MFR+GStr/Stream/Spring,"Middle Fraser, Stream, Spring (MFR+GStr) population",CK-010,CK-10,Chinook,5,Threatened,y,
311,CK011-Middle Fraser River_SU_1.3,MFR-summer,CK10,MFR+GStr/Stream/Summer,"Middle Fraser, Stream, Summer population",CK-011,CK-11,Chinook,5,Threatened,y,
312,CK012-Upper Fraser River_SP_1.3,UFR-spring,CK11,UFR/Stream/Spring,"Upper Fraser, Stream, Spring population",CK-012,CK-12,Chinook,5,Endangered,y,
313,CK013-South Thompson_SU_0.3,STh-0.3,CK12,STh+GStr/Ocean/Summer,"South Thompson, Ocean, Summer population",CK-013,CK-13,Chinook,4,Not at risk,y,
314,CK014-South Thompson_SU_1.3,STh-1.3,CK13,STh+GStr/Stream/Summer,"South Thompson, Stream, Summer 1.3 population",CK-014,CK-14,Chinook,5,Endangered,y,
315,CK015-Shuswap River_SU_0.3,STh-SHUR,CK12,STh+GStr/Ocean/Summer,"South Thompson, Ocean, Summer population",CK-015,CK-15,Chinook,4,Not at risk,y,
316,CK016-South Thompson-Bessette Creek_SU_1.2,STh-BESS,CK14,STh+GStr/Stream/Summer/(Bessette),"South Thompson, Stream, Summer 1.2 (Bessette) population",CK-016,CK-16,Chinook,4,Endangered,y,
317,CK017-Lower Thompson_SP_1.2,LTh,CK15,LTh+GStr/Stream/Spring,"Lower Thompson, Stream, Spring population",CK-017,CK-17,Chinook,4,Endangered,y,
318,CK018-North Thompson_SP_1.3,NTh-spr,CK16,NTh+GStr/Stream/Spring,"North Thompson, Stream, Spring population",CK-018,CK-18,Chinook,5,Endangered,y,
319,CK019-North Thompson_SU_1.3,NTh-sum,CK17,NTh+Gstr/Stream/Summer,"North Thompson, Stream, Summer population",CK-019,CK-19,Chinook,5,Endangered,y,
320,CK020-Southern Mainland-Georgia Strait_FA_0.x,SC-GStr,CK18,SC+GStr/Ocean/Fall,"South Coast - Georgia Strait, Ocean, Fall population",CK-020,CK-20,Chinook,4,Data Deficient,y,
321,CK021-East Vancouver Island-Goldstream_FA_0.x,Goldstr,CK21,EVI+GStr/Ocean/Fall,"East Vancouver Island, Ocean, Fall population",CK-021,CK-21,Chinook,3,Special Concern,y,
322,CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x,CWCH-KOK,CK21,EVI+GStr/Ocean/Fall,"East Vancouver Island, Ocean, Fall population",CK-022,CK-22,Chinook,3,Special Concern,y,
323,CK023-East Vancouver Island-Nanaimo_SP_1.x,NanR-spr,CK19,EVI+GStr/Stream/Spring,"East Vancouver Island, Stream, Spring population",CK-023,CK-23,Chinook,4,Endangered,y,
324,CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x,EVI-fall,CK21,EVI+GStr/Ocean/Fall,"East Vancouver Island, Ocean, Fall population",CK-025,CK-25,Chinook,3,Special Concern,y,
325,CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,CK21,EVI+GStr/Ocean/Fall,"East Vancouver Island, Ocean, Fall population",CK-027,CK-27,Chinook,4,Special Concern,y,
326,CK028-Southern Mainland-Southern Fjords_FA_0.x,SC+SFj,CK22,SC+SFj/Ocean/Fall,"South Coast - Southern Fjords, Ocean, Fall population",CK-028,CK-28,Chinook,4,Data Deficient,y,
327,CK029-East Vancouver Island-North_FA_0.x,NEVI,CK23,EVI+SFj/Ocean/Fall,"East Vancouver Island - North, Ocean, Fall (EVI + SFj) population",CK-029,CK-29,Chinook,4,Not at risk,y,
,CK030-Port San Juan ,PSJ,CK24,WVI/Ocean/Fall (South),"West Vancouver Island, Ocean, Fall (South) population",CK-030,CK-30,Chinook,,,y,
328,CK031-West Vancouver Island-South_FA_0.x,SWVI,CK24,WVI/Ocean/Fall (South),"West Vancouver Island, Ocean, Fall (South) population",CK-031,CK-31,Chinook,4,Threatened,y,
329,CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,CK25,WVI/Ocean/Fall (Nootka & Kyuquot),"West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population",CK-032,CK-32,Chinook,4,Threatened,y,
330,CK033-West Vancouver Island-North_FA_0.x,NWVI,CK26,WVI+WHG/Ocean/Fall,"West Vancouver Island - North, Ocean, Fall (WVI + WQCI) population",CK-033,CK-33,Chinook,4,Data Deficient,y,
331,CK034-Homathko_SU_x.x,HOMATH,CK27,HK+SFj/Ocean/Summer,Southern Mainland Ocean Summer,CK-034,CK-34,Chinook,5,Data Deficient,y,
332,CK035-Klinaklini_SU_1.3,KLINA,CK28,HK+SFj/Stream/Summer,Southern Mainland Stream Summer,CK-035,CK-35,Chinook,5,Data Deficient,y,
333,CK082-Upper Adams River_SU_x.x,UAdams-summer,CK29,STh+GStr/Stream/Summer,"Upper Adams, Stream, Summer",CK-082,CK-82,Chinook,5,,y,
334,CK083-East Vancouver Island-Georgia Strait_SU_0.3,EVIGStr-sum,CK20,EVI+GStr/Ocean/Summer,"East Vancouver Island, Ocean, Summer population",CK-083,CK-83,Chinook,4,Endangered,y,
401,Portland Sound-Observatory Inlet-Lower Nass,,CK49,LNR-P,"Lower Nass River, Stream, Summer",CN_57,CK-57,Chinook,5,,,
402,Upper Nass,,CK50,UNR,"Upper Nass River, Stream, Summer",CN_58,CK-58,Chinook,5,,,
509,Docee,,CK32,SMITH,"Smith Inlet, Ocean, Summer",CN_36,CK-36,Chinook,4,,,
510,Rivers Inlet,,CK33,RIVERS,"Rivers Inlet, Stream, Summer",CN_37,CK-37,Chinook,5,,,
511,Wannock,,CK34,WANN,Wannock,CN_38,CK-38,Chinook,5,,,
512,Bella Coola-Bentinck,,CK35,BCR-BENT,"Bella Coola-Bentinck, Ocean, Summer",CN_39,CK-39,Chinook,5,,,
513,Dean River,,CK36,DEAN,"Dean River, Stream, Summer",CN_40,CK-40,Chinook,5,,,
514,NCC-late timing,,CK37,NCC Late,"North & Central Coast Late,
Ocean/Stream, Summer",CN_41,CK-41,Chinook,5,,,
515,NCC-early timing,,CK38,NCC early,"North & Central Coast Early, Ocean, Spring",CN_42,CK-42,Chinook,5,,,
805,Haida Gwaii-North,,CK30,HGN,"Haida Gwaii-North Ocean/Stream, Summer",CN_43,CK-43,Chinook,6,,,
806,Haida Gwaii-East,,CK31,HGE,"Haida Gwaii-East Ocean, Fall",CN_44,CK-44,Chinook,6,,,
,,,CK39,HecLow,"HecLow, Ocean/Stream, Summer",,,,,,,
211,Lower Skeena-CM,,,,,CM_27,CM-27,Chum,4,,,
214,Middle Skeena-CM,,,,,CM_28,CM-28,Chum,NA,,,
220,Skeena Estuary-CM,,,,,CM_26,CM-26,Chum,NA,,,
242,Upper Skeena,,,,,NA,NA,Chum,6,,,
404,Portland Inlet,,,,,CM_30,CM-30,Chum,4,,,
405,Lower Nass,,,,,CM_31,CM-31,Chum,4,,,
406,Portland Canal-Observatory,,,,,CM_32,CM-32,Chum,4,,,
500,Smith Inlet,,,,,CM_12,CM-12,Chum,4,,,
501,Rivers Inlet,,,,,CM_13,CM-13,Chum,4,,,
502,Wannock,,,,,CM_14,CM-14,Chum,4,,,
503,Spiller-Fitz-Hugh-Burke,,,,,CM_15,CM-15,Chum,4,,,
504,Bella Colla-Dean Rivers,,,,,CM_16,CM-16,Chum,4,,,
505,Bella Coola River-Late,,,,,CM_17,CM-17,Chum,4,,,
506,Hecate Lowlands,,,,,CM_18,CM-18,Chum,4,,,
507,Mussel-Kynock,,,,,CM_19,CM-19,Chum,4,,,
508,Douglas-Gardner,,,,,CM_20,CM-20,Chum,4,,,
701,Lower Fraser,,,,,CM-002,CM-2,Chum,4,,,
800,North Haida Gwaii-Stanley Creek,,,,,CM_25,CM-25,Chum,5,,,
801,East HG,,,,,CM_21,CM-21,Chum,5,,,
802,North Haida Gwaii,,,,,CM_24,CM-24,Chum,5,,,
803,West Haida Gwaii,,,,,CM_23,CM-23,Chum,5,,,
804,Skidegate,,,,,CM_22,CM-22,Chum,5,,,
900,Southern Coastal Streams,,,,,CM-008,CM-8,Chum,4,,,
901,Bute Inlet,,,,,CM-007,CM-7,Chum,4,,,
902,Loughborough,,,,,CM-006,CM-6,Chum,4,,,
903,Northeast Vancouver Island,,,,,CM-005,CM-5,Chum,4,,,
904,Georgia Strait,,,,,CM-004,CM-4,Chum,4,,,
905,Howe Sound-Burrand Inlet,,,,,CM-003,CM-3,Chum,4,,,
977,Northwest Vancouver Island,,,,,CM-011,CM-11,Chum,4,,,
978,Southwest & West  Vancouver Island,,,,,CM-010,CM-10,Chum,4,,,
979,Upper Knight,,,,,CM-009,CM-9,Chum,4,,,
906,Boundary Bay,BB,CO01,BB,Boundary Bay,CO-001,CO-1,Coho,3,,y,
750,Lower Fraser,LFR,CO02,LFR,Lower Fraser ,CO-047,CO-47,Coho,3,,y,
704,Lillooet,LILL,CO03,LILL,Lillooet ,CO-004,CO-4,Coho,3,,y,
705,Fraser Canyon,FRCany,CO04,FRCany,Fraser Canyon,CO-005,CO-5,Coho,3,Threatened,y,
749,Interior Fraser,MFR,CO05,MFR,Middle Fraser,CO-048,CO-48,Coho,3,Threatened,y,
707,Lower Thompson,LTHOM,CO06,LTHOM,Lower Thompson,CO-007,CO-7,Coho,3,Threatened,y,
708,South Thompson,STHOM,CO07,STHOM,South Thompson,CO-008,CO-8,Coho,3,Threatened,y,
709,North Thompson,NTHOM,CO08,NTHOM,North Thompson,CO-009,CO-9,Coho,3,Threatened,y,
908,Georgia Strait Mainland,SC+GStr,CO09,SC+GStr,Georgia Strait Mainland,CO-011,CO-11,Coho,3,,y,
907,Howe Sound-Burrard Inlet,Howe-Burrard,CO10,Howe-Burrard,Howe Sound-Burrard Inlet,CO-010,CO-10,Coho,3,,y,
910,East Vancouver Island-Georgia Strait,EVI+GStr,CO11,EVI+GStr,East Vancouver Island-Georgia Strait,CO-013,CO-13,Coho,3,,y,
909,Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,SC+SFj,CO12,SC+SFj,South Coastal Streams-QCStr-JStr-SFjords,CO-012,CO-12,Coho,3,,y,
916,Homathko-Klinaklini Rivers,HK,CO13,HK+SFj,Homathko-Klinaklini,CO-019,CO-19,Coho,3,,y,
911,East Vancouver Island-Johnstone Strait-Southern Fjords,EVI+SFj,CO14,EVI+SFj,E Vancouver Is – Johnstone Strait-SFjords,CO-014,CO-14,Coho,3,,y,
914,West Vancouver Island,WVI,CO15,WVI,West Vancouver Island,CO-017,CO-17,Coho,3,,y,
915,Clayoquot,CLAY,CO15,WVI,West Vancouver Island,CO-018,CO-18,Coho,3,,y,
913,Juan de Fuca-Pachena,JdF,CO16,JdF,Juan de Fuca-Pachena,CO-016,CO-16,Coho,3,,y,
912,Nahwitti Lowland,Nahwitti,CO17,NWVI,Northwest Vancouver Island,CO-015,CO-15,Coho,3,,y,"alt CU name ""Northwest Vancouver Island"""
808,HG-WEST,WQCI,CO18,WHG,Haida Gwaii - West,CO_24,CO-24,Coho,3,,y,"alt. CU name ""Queen Charlottes | Hecate Strait - Q.C. Sound"""
809,HG-GRAHAM ISLAND LOWLANDS,NQCI,CO19,NHG,Haida Gwaii - North,CO_25,CO-25,Coho,3,,y,"alt. CU name ""QCI - Graham Is Lowlands"""
807,HG-EAST,EQCI,CO20,EHG,Haida Gwaii - East ,CO_23,CO-23,Coho,3,,y,"alt. CU name ""Queen Charlotte Islands | Outer Graham Island"""
516,Smith Inlet,Smith,CO21,RSI,Rivers-Smith Inlet,CO_20,CO-20,Coho,3,,y,
517,Rivers Inlet,Rivers,CO21,RSI,Rivers-Smith Inlet,CO_21,CO-21,Coho,3,,y,
518,Bella Coola-Dean Rivers,BCD,CO22,BCD,Bella Coola - Dean Rivers,CO_22,CO-22,Coho,3,,y,
520,Hecate Strait Mainland,HecLow+HStr,CO23,HecLow,Hecate Strait Mainland,CO_27,CO-27,Coho,3,,y,
519,Mussel-Kynoch,MusKyn,CO24,NCS,Northern Coastal Streams,CO_26,CO-26,Coho,3,,y,
521,Brim-Wahoo,BRIM,CO24,NCS,Northern Coastal Streams,CO_28,CO-28,Coho,3,,y,
522,Douglas Channel-Kitimat Arm,DOUG,CO24,NCS,Northern Coastal Streams,CO_29,CO-29,Coho,3,,y,
523,N Coastal Streams,NCS,CO24,NCS,Northern Coastal Streams,CO_30,CO-30,Coho,3,,y,
225,Skeena Estuary-CO,NSKEst,CO25,NSKEst,Skeena Estuary,CO_31,CO-31,Coho,3,,y,
202,Lower Skeena-CO,LSKNA,CO26,LSK,Lower Skeena,CO_32,CO-32,Coho,3,,y,
215,Middle Skeena-CO,MSKNA,CO27,MSK,Middle Skeena,CO_33,CO-33,Coho,3,,y,
231,Upper Skeena-CO,USKNA,CO28,USK,Upper Skeena,CO_34,CO-34,Coho,3,,y,
408,Lower Nass,LNASS,CO29,LNR-P,Lower Nass - Portland Canal ,CO_35,CO-35,Coho,3,,y,
410,Portland Sound-Observatory Inlet-Portland Canal,PORT,CO29,LNR-P,Lower Nass - Portland Canal ,CO_37,CO-37,Coho,3,,y,
409,Upper Nass,UNASS,CO30,UNR,Upper Nass,CO_36,CO-36,Coho,3,,y,
,Unuk River,UNUK,CO31,Unuk,Unuk,CO_38,CO-38,Coho,3,,y,
,Lower Stikine,LStk,CO32,LStk,Lower Stikine,CO_39,CO-39,Coho,3,,y,
,Whiting River,Whiting,CO33,Whiting,Whiting River,CO_40,CO-40,Coho,3,,y,
,Taku,Taku,CO34,Taku,Taku,CO_41,CO-41,Coho,3,,y,
,Taku,Taku,CO34,Taku,Taku,CO_42,CO-42,Coho,3,,y,
,Taku,Taku,CO34,Taku,Taku,CO_43,CO-43,Coho,3,,y,
,Lynn Canal,LYNN,CO35,LYNN,Chilkat,CO_44,CO-44,Coho,3,,y,
,Alsek,Alsek,CO36,Alsek,Alsek,CO_45,CO-45,Coho,3,,y,
,Porcupine River,PORC,CO37,Yukon,Porcupine,CO_46,CO-46,Coho,3,,y,
209,Lower Skeena (odd),,,,,PKo_15,PKO-15,Pink,2,,,
213,Middle & Upper Skeena (odd),,,,,PKo_16,PKO-16,Pink,2,,,
218,Middle-Upper Skeena (even),,,,,PKe_8,PKE-08,Pink,2,,,
219,Nass-Skeena Estuary (even),,,,,PKe_7,PKE-07,Pink,2,,,
223,Nass-Skeena Estuary (odd),,,,,PKo_14,PKO-14,Pink,2,,,
240,Lower Skeena (even),,,,,NA,NA,Pink,2,,,
412,Upper Nass,,,,,NA,NA,Pink,,,,
414,Nass-Portland-Observatory,,,,,PKo_17,PKO-17,Pink,2,,,
415,Upper Nass,,,,,NA,NA,Pink,,,,
608,Hecate Lowlands,,,,,PKe_5,PKE-05,Pink,2,,,
609,Hecate Strait-Fjords,,,,,PKe_6,PKE-06,Pink,2,,,
610,Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean,,,,,PKo_8,PKO-08,Pink,2,,,
611,Hecate Strait-Lowlands,,,,,PKo_12,PKO-12,Pink,2,,,
612,Hecate Strait-Fjords,,,,,PKo_13,PKO-13,Pink,2,,,
710,Fraser River,,,,,PKO-001,PKO-1,Pink,2,,,
810,North Haida Gwaii,,,,,PKe_9,PKE-09,Pink,2,,,
811,East Haida Gwaii,,,,,PKe_10,PKE-10,Pink,2,,,
812,West Haida Gwaii,,,,,PKe_11,PKE-11,Pink,2,,,
813,East Haida Gwaii,,,,,PKo_9,PKO-09,Pink,2,,,
814,North Haida Gwaii,,,,,PKo_10,PKO-10,Pink,2,,,
815,West Haida Gwaii,,,,,PKo_11,PKO-11,Pink,2,,,
917,Georgia Strait,,,,,PKE-001,PKE-1,Pink,2,,,
918,West Vancouver Island,,,,,PKE-002,PKE-2,Pink,2,,,
919,Northwest Vancouver Island,,,,,PKE-003,PKE-3,Pink,2,,,
920,Southern Fjords,,,,,PKE-004,PKE-4,Pink,2,,,
921,East Howe Sound-Burrard Inlet,,,,,PKO-002,PKO-2,Pink,2,,,
922,Georgia Strait,,,,,PKO-003,PKO-3,Pink,2,,,
923,East Vancouver Island-Johnstone Strait,,,,,PKO-004,PKO-4,Pink,2,,,
924,Nahwitti,,,,,PKO-005,PKO-5,Pink,2,,,
925,West Vancouver Island,,,,,PKO-006,PKO-6,Pink,2,,,
926,Southern Fjords,,,,,PKO-007,PKO-7,Pink,2,,,
171,Alastair,,,,,SX_L-20-01,SEL-20-01,Sockeye-Lake,6,,,
172,Aldrich,,,,,NA,NA,Sockeye-Lake,5,,,
173,Dennis,,,,,NA,NA,Sockeye-Lake,5,,,
