,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
135,301,Chinook,2017,NA,NA,NA,Columbia
133,301,Chinook,2016,NA,NA,NA,Columbia
131,301,Chinook,2015,112,NA,NA,Columbia
129,301,Chinook,2014,64,NA,NA,Columbia
127,301,Chinook,2013,96,NA,NA,Columbia
125,301,Chinook,2012,20,NA,NA,Columbia
123,301,Chinook,2011,50,NA,NA,Columbia
121,301,Chinook,2010,18,NA,NA,Columbia
119,301,Chinook,2009,8,NA,NA,Columbia
117,301,Chinook,2008,44,NA,NA,Columbia
115,301,Chinook,2007,33,NA,NA,Columbia
113,301,Chinook,2006,43,NA,NA,Columbia
111,301,Chinook,2005,25,NA,NA,Columbia
109,301,Chinook,2004,25,NA,NA,Columbia
107,301,Chinook,2003,35,NA,NA,Columbia
105,301,Chinook,2002,17,NA,NA,Columbia
103,301,Chinook,2001,5,NA,NA,Columbia
101,301,Chinook,2000,NA,NA,NA,Columbia
99,301,Chinook,1999,NA,NA,NA,Columbia
97,301,Chinook,1998,NA,4,NA,Columbia
95,301,Chinook,1997,NA,5,NA,Columbia
93,301,Chinook,1996,NA,NA,NA,Columbia
91,301,Chinook,1995,NA,NA,NA,Columbia
89,301,Chinook,1994,NA,NA,NA,Columbia
87,301,Chinook,1993,NA,NA,NA,Columbia
85,301,Chinook,1992,NA,NA,NA,Columbia
83,301,Chinook,1991,NA,NA,NA,Columbia
81,301,Chinook,1990,NA,NA,NA,Columbia
79,301,Chinook,1989,NA,NA,NA,Columbia
77,301,Chinook,1988,NA,NA,NA,Columbia
75,301,Chinook,1987,NA,NA,NA,Columbia
73,301,Chinook,1986,NA,NA,NA,Columbia
71,301,Chinook,1985,NA,NA,NA,Columbia
69,301,Chinook,1984,NA,NA,NA,Columbia
67,301,Chinook,1983,NA,NA,NA,Columbia
65,301,Chinook,1982,NA,NA,NA,Columbia
63,301,Chinook,1981,NA,NA,NA,Columbia
61,301,Chinook,1980,NA,NA,NA,Columbia
59,301,Chinook,1979,NA,NA,NA,Columbia
57,301,Chinook,1978,NA,NA,NA,Columbia
55,301,Chinook,1977,17,NA,NA,Columbia
53,301,Chinook,1976,NA,NA,NA,Columbia
51,301,Chinook,1975,NA,NA,NA,Columbia
49,301,Chinook,1974,NA,NA,NA,Columbia
47,301,Chinook,1973,NA,NA,NA,Columbia
45,301,Chinook,1972,NA,NA,NA,Columbia
43,301,Chinook,1971,NA,NA,NA,Columbia
41,301,Chinook,1970,NA,NA,NA,Columbia
39,301,Chinook,1969,NA,NA,NA,Columbia
37,301,Chinook,1968,NA,NA,NA,Columbia
35,301,Chinook,1967,NA,NA,NA,Columbia
33,301,Chinook,1966,NA,NA,NA,Columbia
31,301,Chinook,1965,NA,NA,NA,Columbia
29,301,Chinook,1964,NA,NA,NA,Columbia
27,301,Chinook,1963,NA,NA,NA,Columbia
25,301,Chinook,1962,NA,NA,NA,Columbia
23,301,Chinook,1961,NA,NA,NA,Columbia
21,301,Chinook,1960,NA,NA,NA,Columbia
19,301,Chinook,1959,NA,NA,NA,Columbia
17,301,Chinook,1958,NA,NA,NA,Columbia
15,301,Chinook,1957,NA,NA,NA,Columbia
13,301,Chinook,1956,NA,NA,NA,Columbia
11,301,Chinook,1955,NA,NA,NA,Columbia
9,301,Chinook,1954,NA,NA,NA,Columbia
7,301,Chinook,1953,NA,NA,NA,Columbia
5,301,Chinook,1952,NA,NA,NA,Columbia
3,301,Chinook,1951,NA,NA,NA,Columbia
1,301,Chinook,1950,NA,NA,NA,Columbia
,1300,Lake Sockeye,2020,NA,"48,138",NA,Columbia
,1300,Lake Sockeye,2019,NA,"13,108",NA,Columbia
,1300,Lake Sockeye,2018,NA,"31,001",NA,Columbia
136,1300,Lake Sockeye,2017,NA,"10,040",NA,Columbia
134,1300,Lake Sockeye,2016,NA,"55,190",NA,Columbia
132,1300,Lake Sockeye,2015,NA,"10,443",NA,Columbia
130,1300,Lake Sockeye,2014,"146,701","146,701",290860,Columbia
128,1300,Lake Sockeye,2013,"36,557","36,557",70266,Columbia
126,1300,Lake Sockeye,2012,"94,071","94,071",267845,Columbia
124,1300,Lake Sockeye,2011,"77,650","77,650",112656,Columbia
122,1300,Lake Sockeye,2010,"209,974","209,974",289961,Columbia
120,1300,Lake Sockeye,2009,"64,141","64,141",101255,Columbia
118,1300,Lake Sockeye,2008,"127,602","127,602",145816,Columbia
116,1300,Lake Sockeye,2007,"13,504","13,504",20447,Columbia
114,1300,Lake Sockeye,2006,"20,819","20,819",26529,Columbia
112,1300,Lake Sockeye,2005,"31,536","31,536",38103,Columbia
110,1300,Lake Sockeye,2004,"41,571","41,571",51425,Columbia
108,1300,Lake Sockeye,2003,"17,753","17,753",22789,Columbia
106,1300,Lake Sockeye,2002,"4,898","4,898",11408,Columbia
104,1300,Lake Sockeye,2001,"41,922","41,922",54766,Columbia
102,1300,Lake Sockeye,2000,"29,243","29,243",36310,Columbia
100,1300,Lake Sockeye,1999,"5,648","5,648",9439,Columbia
98,1300,Lake Sockeye,1998,"3,708","3,708",6686,Columbia
96,1300,Lake Sockeye,1997,"11,996","11,996",15915,Columbia
94,1300,Lake Sockeye,1996,"17,035","17,035",19242,Columbia
92,1300,Lake Sockeye,1995,"4,581","4,581",6167,Columbia
90,1300,Lake Sockeye,1994,"1,977","1,977",4683,Columbia
88,1300,Lake Sockeye,1993,NA,"17,151",NA,Columbia
86,1300,Lake Sockeye,1992,NA,"33,184",NA,Columbia
84,1300,Lake Sockeye,1991,NA,"19,738",NA,Columbia
82,1300,Lake Sockeye,1990,NA,"6,261",NA,Columbia
80,1300,Lake Sockeye,1989,NA,"17,947",NA,Columbia
78,1300,Lake Sockeye,1988,NA,"20,653",NA,Columbia
76,1300,Lake Sockeye,1987,NA,"21,090",NA,Columbia
74,1300,Lake Sockeye,1986,NA,"15,472",NA,Columbia
72,1300,Lake Sockeye,1985,NA,"31,946",NA,Columbia
70,1300,Lake Sockeye,1984,NA,"53,721",NA,Columbia
68,1300,Lake Sockeye,1983,NA,"16,761",NA,Columbia
66,1300,Lake Sockeye,1982,NA,"11,703",NA,Columbia
64,1300,Lake Sockeye,1981,NA,"16,938",NA,Columbia
62,1300,Lake Sockeye,1980,NA,"15,807",NA,Columbia
60,1300,Lake Sockeye,1979,NA,"15,009",NA,Columbia
58,1300,Lake Sockeye,1978,NA,"4,750",NA,Columbia
56,1300,Lake Sockeye,1977,NA,"13,176",NA,Columbia
54,1300,Lake Sockeye,1976,NA,"16,429",NA,Columbia
52,1300,Lake Sockeye,1975,NA,"12,739",NA,Columbia
50,1300,Lake Sockeye,1974,NA,"7,110",NA,Columbia
48,1300,Lake Sockeye,1973,NA,"12,133",NA,Columbia
46,1300,Lake Sockeye,1972,NA,"21,564",NA,Columbia
44,1300,Lake Sockeye,1971,NA,"36,091",NA,Columbia
42,1300,Lake Sockeye,1970,NA,"29,342",NA,Columbia
40,1300,Lake Sockeye,1969,NA,"10,711",NA,Columbia
38,1300,Lake Sockeye,1968,NA,"45,523",NA,Columbia
36,1300,Lake Sockeye,1967,NA,"26,964",NA,Columbia
34,1300,Lake Sockeye,1966,NA,"73,659",NA,Columbia
32,1300,Lake Sockeye,1965,NA,"17,879",NA,Columbia
30,1300,Lake Sockeye,1964,NA,"23,252",NA,Columbia
28,1300,Lake Sockeye,1963,NA,"26,238",NA,Columbia
26,1300,Lake Sockeye,1962,NA,"5,431",NA,Columbia
24,1300,Lake Sockeye,1961,NA,"3,173",NA,Columbia
22,1300,Lake Sockeye,1960,NA,NA,NA,Columbia
20,1300,Lake Sockeye,1959,NA,NA,NA,Columbia
18,1300,Lake Sockeye,1958,NA,NA,NA,Columbia
16,1300,Lake Sockeye,1957,NA,NA,NA,Columbia
14,1300,Lake Sockeye,1956,NA,NA,NA,Columbia
12,1300,Lake Sockeye,1955,NA,NA,NA,Columbia
10,1300,Lake Sockeye,1954,NA,NA,NA,Columbia
8,1300,Lake Sockeye,1953,NA,NA,NA,Columbia
6,1300,Lake Sockeye,1952,NA,NA,NA,Columbia
4,1300,Lake Sockeye,1951,NA,NA,NA,Columbia
2,1300,Lake Sockeye,1950,NA,NA,NA,Columbia